book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,recording_length
Harry Potter and the Chamber of Secrets,J.K. Rowling,קריינות: Stephen Fry,ספר מוקלט בנוסף ספר דיגיטלי,Pottermore,2015,ילדים,4.78,אנגלית,"תאריך פרסום
ספר מוקלט: 20 בנובמבר 2015
ספר דיגיטלי: 8 בדצמבר 2015",9שעות 43דקות
Harry Potter and the Order of the Phoenix,J.K. Rowling,קריינות: Stephen Fry,ספר מוקלט בנוסף ספר דיגיטלי,Pottermore,2015,ילדים,4.8,אנגלית,"תאריך פרסום
ספר מוקלט: 20 בנובמבר 2015
ספר דיגיטלי: 8 בדצמבר 2015",29שעות 1דקות
פילים לא מתקבלים,ליזה מנטצ׳ב,קריינות: זיו זוהר מאיר,ספר מוקלט,Storyside,2021,ילדים,3.92,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",3דקות
פיתה וסיסי רבות,רונית חכם,קריינות: רונית חכם,ספר מוקלט,Storyside,2021,ילדים,3.5,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",3דקות
טיגר טיגר האם זו האמת,קייטי ביירון,קריינות: רמי ברוך,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,ילדים,4.67,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2011",10דקות
כראמל (4) האוצר הצהוב,מאירה ברנע גולדברג,קריינות: אביה שפיצר,ספר מוקלט,Storyside,2021,ילדים,4.83,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",6שעות 25דקות
דוקטור מרשמלו מלו - סיפור בחרוזים,שלומית כהן-אסיף,קריינות: שלומית כהן-אסיף,ספר מוקלט,Storyside,2021,ילדים,5,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",6דקות
אין לי אבל יש לי,יובל אברמוביץ',קריינות: יובל אברמוביץ',ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,ילדים,4.71,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 3 באפריל 2022",3דקות
איתמר מטיל על קירות,דויד גרוסמן,קריינות: דליה שימקו,ספר מוקלט,Storyside,2021,ילדים,4.42,עברית,"תאריך פרסום
ספר מוקלט: 27 באפריל 2021",8דקות
גור של דינוזאור,הדס ליבוביץ',קריינות: הדס ליבוביץ',ספר מוקלט,Storyside,2021,ילדים,5,עברית,"תאריך פרסום
ספר מוקלט: 18 במאי 2021",9דקות
מי הכי גבוה ?,יונה טפר,קריינות: יובל רז וקרן מזיג,ספר מוקלט,Storyside,2021,ילדים,4.89,עברית,"תאריך פרסום
ספר מוקלט: 25 ביוני 2021",4דקות
הדודה שלי מרחוב הנביאים,יורם טהרלב,קריינות: יורם טהרלב,ספר מוקלט,Storyside,2021,ילדים,4.76,עברית,"תאריך פרסום
ספר מוקלט: 25 ביולי 2021",7דקות
האוצר של צ'מבלו,רוני חפר,קריינות: רוני חפר,ספר מוקלט,Storyside,2021,ילדים,4.6,עברית,"תאריך פרסום
ספר מוקלט: 1 באוגוסט 2021",8דקות
מתי מגיעים,רוני חפר,קריינות: רוני חפר,ספר מוקלט,Storyside,2021,ילדים,3.8,עברית,"תאריך פרסום
ספר מוקלט: 19 בספטמבר 2021",11דקות
הנמלה והצרצר,יעל שכנאי,קריינות: יעל שכנאי,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,ילדים,4.56,עברית,"תאריך פרסום
ספר מוקלט: 25 בספטמבר 2021
ספר דיגיטלי: 6 בנובמבר 2018",5דקות
מנהרת הזמן (1): ירושלים במצור,גלילה רון פדר עמית,קריינות: אילת פוזניאק,ספר מוקלט,Storyside,2022,ילדים,4.6,עברית,"תאריך פרסום
ספר מוקלט: 15 בפברואר 2022",1שעות 18דקות
מנהרת הזמן (53): נחש צפע,גלילה רון פדר עמית,קריינות: נועה זוהר,ספר מוקלט,Storyside,2022,ילדים,3.4,עברית,"תאריך פרסום
ספר מוקלט: 15 בפברואר 2022",1שעות 28דקות
משחקי בילוש (1): תעלומת החטיפה המסתורית,מיכאל אבס,קריינות: עדי עזרא,ספר מוקלט,Storyside,2022,ילדים,4.5,עברית,"תאריך פרסום
ספר מוקלט: 15 בפברואר 2022",1שעות 41דקות
שקשוקה מאמצת חתול איום ונורא,גליה עוז,קריינות: גליה עוז,ספר מוקלט,Storyside,2023,ילדים,3,עברית,"תאריך פרסום
ספר מוקלט: 2 במאי 2023",44דקות
שקשוקה והמלחמה העולמית בין הטובים והרעים,גליה עוז,קריינות: גליה עוז,ספר מוקלט,Storyside,2023,ילדים,0,עברית,"תאריך פרסום
ספר מוקלט: 2 במאי 2023",59דקות
שקשוקה נעלמת,גליה עוז,קריינות: גליה עוז,ספר מוקלט,Storyside,2023,ילדים,5,עברית,"תאריך פרסום
ספר מוקלט: 2 במאי 2023",48דקות
Harry Potter and the Deathly Hallows,J.K. Rowling,קריינות: Stephen Fry,ספר מוקלט בנוסף ספר דיגיטלי,Pottermore,2015,ילדים,4.85,אנגלית,"תאריך פרסום
ספר מוקלט: 20 בנובמבר 2015
ספר דיגיטלי: 8 בדצמבר 2015",23שעות 59דקות
Harry Potter and the Goblet of Fire,J.K. Rowling,קריינות: Stephen Fry,ספר מוקלט בנוסף ספר דיגיטלי,Pottermore,2015,ילדים,4.82,אנגלית,"תאריך פרסום
ספר מוקלט: 20 בנובמבר 2015
ספר דיגיטלי: 8 בדצמבר 2015",20שעות 54דקות
אהבתי אותך מאז ומתמיד,הודה קוטב,קריינות: נועה זוהר,ספר מוקלט,Storyside,2021,ילדים,3.93,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2דקות
"הו, איזו עוגה",ג׳אן פירנלי,קריינות: ירדן אורלובסקי,ספר מוקלט,Storyside,2021,ילדים,5,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",4דקות
מושלם בשביל שניים,טרייסי קורדרוי,קריינות: אביה שפיצר,ספר מוקלט,Storyside,2021,ילדים,4.56,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",4דקות
סיסי,רונית חכם,קריינות: רונית חכם,ספר מוקלט,Storyside,2021,ילדים,4,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2דקות
סיסי עושה בלגן,רונית חכם,קריינות: רונית חכם,ספר מוקלט,Storyside,2021,ילדים,2.25,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",3דקות
חתולה וארנבון מחליפים בתים,דורית רביניאן,קריינות: מיכה אוזין,ספר מוקלט,Storyside,2021,ילדים,4.4,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",5דקות
כראמל (2) הנקמה,מאירה ברנע גולדברג,קריינות: שירן גרוס,ספר מוקלט,Storyside,2021,ילדים,4.69,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",4שעות 47דקות
חבורת כוח המוח (13) בעקבות גנבי האופניים,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.73,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 5דקות
חבורת כוח המוח (14) - ורוח הרפאים,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.7,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 14דקות
חבורת כוח המוח (17) - והקלף המקולל,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.87,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 7דקות
חבורת כוח המוח (20) - עושים סדר!,זוהר אביב,קריינות: נועה לפידות,ספר מוקלט,Storyside,2021,ילדים,4.92,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 12דקות
חבורת כוח המוח (7) בעקבות הכסף האבוד,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,5,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",1שעות 52דקות
חבורת כוח המוח (24) - גול אחד יכול,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.67,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",1שעות 55דקות
חבורת כוח המוח (6) והתקלה המסתורית,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.38,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 3דקות
חבורת כוח המוח (25) מסך שבור,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.7,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",1שעות 57דקות
חבורת כוח המוח (5) וטבעת המזל,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.6,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",1שעות 44דקות
חבורת כוח המוח (9) וההצגה הגדולה,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.75,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",1שעות 39דקות
חבורת כוח המוח (8) והמסיבה המדליקה,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.89,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 1דקות
יד הפלא (1) הסוד מתגלה,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.65,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",1שעות 32דקות
יד הפלא (7) על רגל אחת,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.33,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",1שעות 57דקות
יד הפלא (9) הפרעת כשף,זוהר אביב,קריינות: ציפי מור,ספר מוקלט,Storyside,2021,ילדים,4.62,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 18דקות
פיטר פן,ג'יימס מת'יו בארי,קריינות: רמי ברוך,ספר מוקלט,Storyside,2021,ילדים,4.12,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",35דקות
הבית בעמק שוקו,שלומית כהן-אסיף,קריינות: ניקו בר ושלומית כהן אסיף,ספר מוקלט,Storyside,2021,ילדים,5,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",9דקות
הגשם של סבא אהרון,מאיר שלו,קריינות: מאיר שלו,ספר מוקלט,Storyside,2021,ילדים,4.26,עברית,"תאריך פרסום
ספר מוקלט: 27 באפריל 2021",15דקות
מי רוצה שק-קמח?,דויד גרוסמן,קריינות: תמר עמית-יוסף,ספר מוקלט,Storyside,2021,ילדים,3.91,עברית,"תאריך פרסום
ספר מוקלט: 27 באפריל 2021",6דקות
קרמר החתול לומד לשחות,מאיר שלו,קריינות: איל קיציס,ספר מוקלט,Storyside,2021,ילדים,4.66,עברית,"תאריך פרסום
ספר מוקלט: 3 במאי 2021",5דקות
רוני ונומי והדב יעקב,מאיר שלו,קריינות: מאיר שלו,ספר מוקלט,Storyside,2021,ילדים,4.38,עברית,"תאריך פרסום
ספר מוקלט: 3 במאי 2021",8דקות
האח החדש של איתמר,דויד גרוסמן,קריינות: דליה שימקו,ספר מוקלט,Storyside,2021,ילדים,4.4,עברית,"תאריך פרסום
ספר מוקלט: 3 במאי 2021",6דקות
מגדל של נמלים,נעמי בן-גור,קריינות: ציפי מור,ספר מוקלט,Storyside,2021,ילדים,3.5,עברית,"תאריך פרסום
ספר מוקלט: 5 באוקטובר 2021",9דקות
לא תשיג אותי,יונה טפר,קריינות: שירלי סומק ויובל רז,ספר מוקלט,Storyside,2021,ילדים,4.75,עברית,"תאריך פרסום
ספר מוקלט: 28 במאי 2021",6דקות
באושר ועושר כאילו... (4) חלומות מתוקים,שרה מלינובסקי,קריינות: אלינור אהרון בן-אבי,ספר מוקלט,Storyside,2021,ילדים,5,עברית,"תאריך פרסום
ספר מוקלט: 19 ביוני 2021",2שעות 59דקות
הנסיך האמיץ,ציון זכאי,קריינות: חן גבעתי,ספר מוקלט,Storyside,2021,ילדים,3.5,עברית,"תאריך פרסום
ספר מוקלט: 20 ביוני 2021",10דקות
כראמל (2) הנקמה,מאירה ברנע גולדברג,קריינות: תומר שרון,ספר מוקלט,Storyside,2021,ילדים,4.68,עברית,"תאריך פרסום
ספר מוקלט: 19 ביוני 2021",4שעות 39דקות
אלרגיה: סיפור ילדות,יהונתן גפן,קריינות: שרון ליפקינד,ספר מוקלט,Storyside,2021,ילדים,4.8,עברית,"תאריך פרסום
ספר מוקלט: 9 באוקטובר 2021",1שעות 25דקות
אייזיק ניוטון הקטן,יורם טהרלב,קריינות: יורם טהרלב,ספר מוקלט,Storyside,2021,ילדים,4.14,עברית,"תאריך פרסום
ספר מוקלט: 25 ביולי 2021",5דקות
בא לי,רוני חפר,קריינות: רוני חפר,ספר מוקלט,Storyside,2021,ילדים,4.62,עברית,"תאריך פרסום
ספר מוקלט: 19 בספטמבר 2021",7דקות
קופיף מעצבן,שושנה ויג,קריינות: שושנה ויג,ספר מוקלט,Storyside,2021,ילדים,4,עברית,"תאריך פרסום
ספר מוקלט: 9 באוגוסט 2021",5דקות
כראמל (3) נער החידות,מאירה ברנע גולדברג,קריינות: תומר שרון,ספר מוקלט,Storyside,2021,ילדים,4.69,עברית,"תאריך פרסום
ספר מוקלט: 9 באוגוסט 2021",6שעות 32דקות
אבא עושה קוקיות,כרמי חוסטצקי משיח,קריינות: ריקי בליך,ספר מוקלט,Storyside,2021,ילדים,4.34,עברית,"תאריך פרסום
ספר מוקלט: 1 בספטמבר 2021",9דקות
כראמל (4) האוצר הצהוב,מאירה ברנע גולדברג,קריינות: תומר שרון,ספר מוקלט,Storyside,2021,ילדים,5,עברית,"תאריך פרסום
ספר מוקלט: 26 בספטמבר 2021",6שעות
הרפתקאות דוד אריה באוקינוס הטיבטי,ינץ לוי,קריינות: ינץ לוי,ספר מוקלט,Storyside,2021,ילדים,4.78,עברית,"תאריך פרסום
ספר מוקלט: 5 באוקטובר 2021",1שעות 27דקות
הרפתקאות דוד אריה בג'ונגל הסיבירי,ינץ לוי,קריינות: ינץ לוי,ספר מוקלט,Storyside,2021,ילדים,4.8,עברית,"תאריך פרסום
ספר מוקלט: 5 באוקטובר 2021",1שעות 1דקות
הרפתקאות דוד אריה במדבר השוויצרי,ינץ לוי,קריינות: ינץ לוי,ספר מוקלט,Storyside,2021,ילדים,4.86,עברית,"תאריך פרסום
ספר מוקלט: 5 באוקטובר 2021",1שעות 8דקות
הרפתקאות דוד אריה ביערות הסהרה,ינץ לוי,קריינות: ינץ לוי,ספר מוקלט,Storyside,2021,ילדים,4.51,עברית,"תאריך פרסום
ספר מוקלט: 5 באוקטובר 2021",1שעות 16דקות
הדינוזאור של דודו,רחלי פליישון,קריינות: רחלי פליישון,ספר מוקלט,Storyside,2022,ילדים,4.19,עברית,"תאריך פרסום
ספר מוקלט: 23 בינואר 2022",5דקות
מנהרת הזמן (29): משפט דרייפוס,גלילה רון פדר עמית,קריינות: אילת פוזניאק,ספר מוקלט,Storyside,2022,ילדים,5,עברית,"תאריך פרסום
ספר מוקלט: 15 בפברואר 2022",1שעות 30דקות
מנהרת הזמן (73): הפיראט היהודי,גלילה רון פדר עמית,קריינות: נועה זוהר,ספר מוקלט,Storyside,2022,ילדים,4.5,עברית,"תאריך פרסום
ספר מוקלט: 15 בפברואר 2022",1שעות 28דקות
יש נסיכות עם משקפיים,תמר בן אביר,קריינות: עדי לב,ספר מוקלט,Storyside,2022,ילדים,4.2,עברית,"תאריך פרסום
ספר מוקלט: 8 במאי 2022",8דקות
"Big Nate: Thunka, Thunka, Thunka",Lincoln Peirce,NaN,ספר דיגיטלי,Andrews McMeel Publishing,2016,ילדים,4.91,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 במרץ 2016",NaN
Big Nate: Great Minds Think Alike,Lincoln Peirce,NaN,ספר דיגיטלי,Andrews McMeel Publishing,2014,ילדים,4.75,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 באפריל 2014",NaN
Justice Bao: The Case of the Missing Coins,Catherine Khoo,קריינות: Paul Courtenay Hyu,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2020,ילדים,4.64,אנגלית,"תאריך פרסום
ספר מוקלט: 30 בדצמבר 2020
ספר דיגיטלי: 1 ביולי 2019",9דקות
Tokoyo: The Tomb of the Sea Serpent,Catherine Khoo,קריינות: Tina Chiang,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2020,ילדים,4.09,אנגלית,"תאריך פרסום
ספר מוקלט: 30 בדצמבר 2020
ספר דיגיטלי: 1 באוגוסט 2019",6דקות
The Crane and The Crab,SR Nathan,קריינות: Paul Courtenay Hyu,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,ילדים,4.61,אנגלית,"תאריך פרסום
ספר מוקלט: 21 בינואר 2021
ספר דיגיטלי: 1 ביולי 2017",5דקות
אמת או חובה,לימור טלמור,קריינות: ירדן אורלובסקי,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,ילדים,3.75,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 25 בספטמבר 2019",7שעות 42דקות
המגדל של גוסטב,מאיה גז,קריינות: מאיה גז,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,ילדים,3.33,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 16 בספטמבר 2018",15דקות
ממלכת יוריקה,אופיר גוטמן,קריינות: גיא נובוטני,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,ילדים,4.24,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 25 בפברואר 2019",2שעות 13דקות
נל ומסיבת יום ההולדת,אוש לון,קריינות: אורנה כץ,ספר מוקלט,Storyside,2021,ילדים,0,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 3דקות
סוכנות בילוש מספר 2: מבצע ענן רעם ומבצע האיש בשחור,ירן ליאר הורסט,קריינות: אביה שפיצר,ספר מוקלט,Storyside,2021,ילדים,4,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",1שעות 33דקות
סופי והפינגווינים,אדוורד ואן דה ונדל,קריינות: נתלי פיינשטיין,ספר מוקלט,Storyside,2021,ילדים,5,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",3שעות 58דקות
איפה הדב?,ג׳ונתן בנטלי,קריינות: ירדן אורלובסקי,ספר מוקלט,Storyside,2021,ילדים,4.67,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",1דקות
בבה,רונית חכם,קריינות: רונית חכם,ספר מוקלט,Storyside,2021,ילדים,5,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",3דקות
הדב והפסנתר,דיויד ליצ׳פילד,קריינות: אביה שפיצר,ספר מוקלט,Storyside,2021,ילדים,4.36,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",5דקות
כמוך בדיוק,ג׳אן פירנלי,קריינות: אביה שפיצר,ספר מוקלט,Storyside,2021,ילדים,4.64,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",6דקות
לזזה יום הולדת,רונית חכם,קריינות: רונית חכם,ספר מוקלט,Storyside,2021,ילדים,3.33,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",4דקות
סוד החיות הקסומות - כיבוי אורות,מרגיט אאואר,קריינות: ירדן אורלובסקי,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,ילדים,4.9,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2018",3שעות 19דקות
פולי שלוטרמוץ,לוסי אסטנר,קריינות: אביה שפיצר,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,ילדים,4.78,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2018",4שעות 26דקות
פיתה,רונית חכם,קריינות: רונית חכם,ספר מוקלט,Storyside,2021,ילדים,4,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2דקות
נל והכתה החדשה,אוש לון,קריינות: אורנה כץ,ספר מוקלט,Storyside,2021,ילדים,5,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 16דקות
עץ הקסמים (1) - הכסא האדום,אנדז'יי מלשקה,קריינות: אנדז'יי מלשקה,ספר מוקלט,Storyside,2021,ילדים,4.86,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",3שעות 33דקות
עץ הקסמים (3) - הענק,אנדז'יי מלשקה,קריינות: ניר שאולוף,ספר מוקלט,Storyside,2021,ילדים,4.29,עברית,"תאריך פרסום
ספר מוקלט: 5 באפריל 2021",6שעות 36דקות
עץ הקסמים (2) - סוד הגשר,אנדז'יי מלשקה,קריינות: ניר שאולוף,ספר מוקלט,Storyside,2021,ילדים,4.73,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",4שעות 53דקות
חבורת כוח המוח (11) והמלכודת בטיול השנתי,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.8,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",1שעות 31דקות
חבורת כוח המוח (16) - מסתורין בפינת החי,זוהר אביב,קריינות: נועה לפידות,ספר מוקלט,Storyside,2021,ילדים,4.75,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 10דקות
חבורת כוח המוח (1) ופרשת הגנבות בכיתה,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.79,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 16דקות
חבורת כוח המוח (18) - נלחמים בשד האלימות,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.8,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 17דקות
חבורת כוח המוח (2) והבלגן בחדר המנהלת,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.6,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 15דקות
חבורת כוח המוח (21) - והסודות הגנובים,זוהר אביב,קריינות: נועה לפידות,ספר מוקלט,Storyside,2021,ילדים,4.85,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 23דקות
יד הפלא (11) - חבר אמת,זוהר אביב,קריינות: נועה לפידות,ספר מוקלט,Storyside,2021,ילדים,4.5,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",1שעות 46דקות
חבורת כוח המוח (3) והתעלומה באולם הספורט,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.31,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 22דקות
יד הפלא (10) לחם מזהב,זוהר אביב,קריינות: נועה לפידות,ספר מוקלט,Storyside,2021,ילדים,4.94,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות
יד הפלא (3) נגד תאונות,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.76,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 12דקות
