book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,recording_length
הכינה נחמה,מאיר שלו,קריינות: מאיר שלו,ספר מוקלט,Storyside,2021,ילדים,4.56,עברית,"תאריך פרסום
ספר מוקלט: 27 באפריל 2021",10דקות
אבא עושה בושות,מאיר שלו,קריינות: מאיר שלו,ספר מוקלט,Storyside,2021,ילדים,4.29,עברית,"תאריך פרסום
ספר מוקלט: 27 באפריל 2021",6דקות
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,קריינות: Stephen Fry,ספר מוקלט בנוסף ספר דיגיטלי,Pottermore,2015,ילדים,4.82,אנגלית,"תאריך פרסום
ספר מוקלט: 20 בנובמבר 2015
ספר דיגיטלי: 8 בדצמבר 2015",12שעות 3דקות
Harry Potter and the Philosopher's Stone,J.K. Rowling,קריינות: Stephen Fry,ספר מוקלט בנוסף ספר דיגיטלי,Pottermore,2015,ילדים,4.7,אנגלית,"תאריך פרסום
ספר מוקלט: 20 בנובמבר 2015
ספר דיגיטלי: 8 בדצמבר 2015",8שעות 25דקות
קרמר החתול ישן כל הזמן,מאיר שלו,קריינות: איל קיציס,ספר מוקלט,Storyside,2021,ילדים,4.46,עברית,"תאריך פרסום
ספר מוקלט: 27 באפריל 2021",3דקות
הרפתקאות דוד אריה בערבות רומניה,ינץ לוי,קריינות: ינץ לוי,ספר מוקלט,Storyside,2021,ילדים,4.59,עברית,"תאריך פרסום
ספר מוקלט: 5 באוקטובר 2021",54דקות
שקשוקה שתיים,גליה עוז,קריינות: גליה עוז,ספר מוקלט,Storyside,2023,ילדים,0,עברית,"תאריך פרסום
ספר מוקלט: 2 במאי 2023",44דקות
"מהר למיטות, ארנבונים קטנים",מריסבינה רוסו,קריינות: ירדן אורלובסקי,ספר מוקלט,Storyside,2021,ילדים,4.16,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",5דקות
קצת יותר גדול,ג׳ונתן אמט,קריינות: אביה שפיצר,ספר מוקלט,Storyside,2021,ילדים,4.73,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",4דקות
החתול במגפיים,אריך קסטנר,קריינות: מוטי ברכאן,ספר מוקלט,Storyside,2021,ילדים,4.81,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",40דקות
הטרקטור בארגז החול,מאיר שלו,קריינות: איל קיציס,ספר מוקלט,Storyside,2021,ילדים,4.66,עברית,"תאריך פרסום
ספר מוקלט: 27 באפריל 2021",7דקות
מנהרת הזמן (2): מבצע חומה ומגדל,גלילה רון פדר עמית,קריינות: אילת פוזניאק,ספר מוקלט,Storyside,2022,ילדים,4.68,עברית,"תאריך פרסום
ספר מוקלט: 14 בפברואר 2022",1שעות 25דקות
Harry Potter and the Half-Blood Prince,J.K. Rowling,קריינות: Stephen Fry,ספר מוקלט בנוסף ספר דיגיטלי,Pottermore,2015,ילדים,4.83,אנגלית,"תאריך פרסום
ספר מוקלט: 20 בנובמבר 2015
ספר דיגיטלי: 8 בדצמבר 2015",20שעות 31דקות
כראמל,מאירה ברנע גולדברג,קריינות: רותם שפי,ספר מוקלט,Storyside,2021,ילדים,4.6,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",5שעות 27דקות
חבורת כוח המוח (10) ותעלומת העטלף השחור,זוהר אביב,קריינות: זוהר אביב,ספר מוקלט,Storyside,2021,ילדים,4.67,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",2שעות 18דקות
החבר הכי טוב של זואי,ליאור אייזלר,קריינות: ליאור אייזלר,ספר מוקלט,Storyside,2021,ילדים,4.25,עברית,"תאריך פרסום
ספר מוקלט: 25 בספטמבר 2021",7דקות
הינשוף שראה הפוך,יוסי גודארד,קריינות: רמי ברוך,ספר מוקלט,Storyside,2022,ילדים,5,עברית,"תאריך פרסום
ספר מוקלט: 23 בינואר 2022",12דקות
השיקוי המופלא,יובל אברמוביץ',קריינות: יובל אברמוביץ',ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2022,ילדים,4.68,עברית,"תאריך פרסום
ספר מוקלט: 21 באוגוסט 2022
ספר דיגיטלי: 7 באוגוסט 2022",11דקות
