author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,recording_length
Steve Almond,NaN,ספר דיגיטלי,Grove Press,2007,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בדצמבר 2007",NaN
Cate Kennedy,NaN,ספר דיגיטלי,Black Cat,2008,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 12 בפברואר 2008",NaN
Ed Bullins,NaN,ספר דיגיטלי,Akashic Books,2009,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בינואר 2009",NaN
Ana Menéndez,NaN,ספר דיגיטלי,Black Cat,2018,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 20 בנובמבר 2018",NaN
Doris Davidson,NaN,ספר דיגיטלי,Birlinn,2012,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 17 בדצמבר 2012",NaN
William McIlvanney,NaN,ספר דיגיטלי,Canongate Books,2014,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 2 בינואר 2014",NaN
Mark Helprin,NaN,ספר דיגיטלי,Mariner Books,2012,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 5 ביוני 2012",NaN
Rick Bass,NaN,ספר דיגיטלי,Mariner Books,2003,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 18 בספטמבר 2003",NaN
Mikhail Zoshchenko,NaN,ספר דיגיטלי,Columbia University Press,2020,סיפורים קצרים,3,אנגלית,"תאריך פרסום
ספר דיגיטלי: 15 ביולי 2020",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Grove Press,2007,סיפורים קצרים,3,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בדצמבר 2007",NaN
Ellen Gilchrist,NaN,ספר דיגיטלי,Diversion Books,2018,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 18 בדצמבר 2018",NaN
Jim Harrison,NaN,ספר דיגיטלי,Grove Press,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 26 בפברואר 2020",NaN
Eric-Emmanuel Schmitt,NaN,ספר דיגיטלי,Europa Editions,2011,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 31 במאי 2011",NaN
Louis Auchincloss,NaN,ספר דיגיטלי,Houghton Mifflin Harcourt,1980,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 19 בספטמבר 1980",NaN
Patricia Highsmith,NaN,ספר דיגיטלי,Grove Press,2011,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בנובמבר 2011",NaN
Elizabeth Crane,NaN,ספר דיגיטלי,Akashic Books,2008,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בפברואר 2008",NaN
Stewart O’Nan,NaN,ספר דיגיטלי,Grove Press,2007,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בדצמבר 2007",NaN
Jim Harrison,NaN,ספר דיגיטלי,Grove Press,2008,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 2 באוקטובר 2008",NaN
Carson McCullers,NaN,ספר דיגיטלי,Mariner Books,2020,סיפורים קצרים,3.33,אנגלית,"תאריך פרסום
ספר דיגיטלי: 11 ביוני 2020",NaN
Carson McCullers,NaN,ספר דיגיטלי,Mariner Books,1998,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 15 בספטמבר 1998",NaN
Ellen Gilchrist,NaN,ספר דיגיטלי,Diversion Books,2018,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 18 בדצמבר 2018",NaN
T.C. Boyle,קריינות: T.C. Boyle,ספר מוקלט,Blackstone Publishing,2010,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר מוקלט: 22 באפריל 2010",10שעות 22דקות
Sabina Murray,NaN,ספר דיגיטלי,Grove Press,2007,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בדצמבר 2007",NaN
Barry Hannah,NaN,ספר דיגיטלי,Grove Press,2007,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בדצמבר 2007",NaN
Alasdair Gray,NaN,ספר דיגיטלי,Canongate Canons,2010,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 ביולי 2010",NaN
William Croft Dickinson,NaN,ספר דיגיטלי,Polygon,2017,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 31 באוקטובר 2017",NaN
