author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,recording_length
Patricia Engel,NaN,ספר דיגיטלי,Black Cat,2010,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 7 בספטמבר 2010",NaN
Ann Cummins,NaN,ספר דיגיטלי,Mariner Books,2003,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 7 באפריל 2003",NaN
Rick Bass,NaN,ספר דיגיטלי,Mariner Books,2018,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 ביוני 2018",NaN
Louis Auchincloss,NaN,ספר דיגיטלי,Houghton Mifflin Harcourt,2012,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 24 בספטמבר 2012",NaN
Agatha Christie,קריינות: Joan Hickson,ספר מוקלט,HarperCollins,2007,סיפורים קצרים,3.87,אנגלית,"תאריך פרסום
ספר מוקלט: 2 ביולי 2007",5שעות 3דקות
Jim Harrison,NaN,ספר דיגיטלי,Grove Press,2007,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בדצמבר 2007",NaN
Joyce Carol Oates,NaN,ספר דיגיטלי,Mysterious Press,2018,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בספטמבר 2018",NaN
David Rabe,NaN,ספר דיגיטלי,Grove Press,2007,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בדצמבר 2007",NaN
Eudora Welty,NaN,ספר דיגיטלי,Mariner Books,1956,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 14 בספטמבר 1956",NaN
Iain Crichton Smith,NaN,ספר דיגיטלי,Canongate Books,2010,סיפורים קצרים,3,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 ביולי 2010",NaN
James Meek,NaN,ספר דיגיטלי,Canongate Books,2010,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 31 באוגוסט 2010",NaN
Joyce Carol Oates,NaN,ספר דיגיטלי,Mysterious Press,2018,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 באפריל 2018",NaN
Italo Calvino,NaN,ספר דיגיטלי,Mariner Books,2012,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 26 באוקטובר 2012",NaN
Eudora Welty,NaN,ספר דיגיטלי,Mariner Books,1991,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 7 בנובמבר 1991",NaN
Henry Kuttner,NaN,ספר דיגיטלי,Diversion Books,2014,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 19 באוגוסט 2014",NaN
Anne Enright,NaN,ספר דיגיטלי,Grove Press,2009,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 16 ביוני 2009",NaN
Rick Bass,NaN,ספר דיגיטלי,Mariner Books,2007,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 17 באוקטובר 2007",NaN
Ed McBain,NaN,ספר דיגיטלי,Mariner Books,2007,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 4 ביוני 2007",NaN
Ethan Canin,NaN,ספר דיגיטלי,Mariner Books,2015,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 3 בפברואר 2015",NaN
Italo Calvino,NaN,ספר דיגיטלי,Mariner Books,2020,סיפורים קצרים,1,אנגלית,"תאריך פרסום
ספר דיגיטלי: 11 ביוני 2020",NaN
Becky Lee Weyrich,NaN,ספר דיגיטלי,Diversion Books,2019,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 6 בפברואר 2019",NaN
Lucia Berlin,NaN,ספר דיגיטלי,Black Sparrow Press,2017,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 באפריל 2017",NaN
Dagoberto Gilb,NaN,ספר דיגיטלי,Grove Press,2007,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בדצמבר 2007",NaN
יובל אברמוביץ',קריינות: יובל אברמוביץ',ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,3.97,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 3 באפריל 2022",5דקות
דון מיגל רואיס,קריינות: אילה זילברמן,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.52,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2020",2שעות 46דקות
ג'יימס קליר,קריינות: אורי דרור,ספר מוקלט,Storyside,2021,התפתחות אישית,4.81,עברית,"תאריך פרסום
ספר מוקלט: 19 בדצמבר 2021",9שעות 45דקות
ריצ׳רד טמפלר,קריינות: שרון ליפקינד,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.19,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2009",6שעות 7דקות
מתן ניסטור,קריינות: מתן ניסטור,ספר מוקלט,"קבוצת יאללה בע""מ",2022,התפתחות אישית,4.65,עברית,"תאריך פרסום
ספר מוקלט: 23 במרץ 2022",3שעות 7דקות
מל רובינס,קריינות: עדי דרורי,ספר מוקלט,Storyside,2021,התפתחות אישית,4.44,עברית,"תאריך פרסום
ספר מוקלט: 24 באפריל 2021",6שעות 19דקות
אדמירל ויליאם ה. מקרייבן,קריינות: דורון זילברבוך,ספר מוקלט,Storyside,2021,התפתחות אישית,4.46,עברית,"תאריך פרסום
ספר מוקלט: 11 באפריל 2021",1שעות 49דקות
חיותה גורן,קריינות: חיותה גורן,ספר מוקלט,Storyside,2021,התפתחות אישית,4.88,עברית,"תאריך פרסום
ספר מוקלט: 20 ביוני 2021",49דקות
רובין שארמה,קריינות: ג׳וני רוזנבלום,ספר מוקלט,Storyside,2022,התפתחות אישית,4.3,עברית,"תאריך פרסום
ספר מוקלט: 15 בפברואר 2022",11שעות 5דקות
אקהרט טול,קריינות: עדי לב,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.67,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2005",1שעות 38דקות
ברנדון בייס,קריינות: עדי לב,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.74,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2012",6שעות 37דקות
אקהרט טול,קריינות: נועה זוהר,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.45,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2006",2שעות 39דקות
פמה צ'ודרון,קריינות: רנה ורבין,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.55,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 3 בינואר 2001",5שעות 29דקות
ריצ'רד ברנסון,קריינות: רועי ווסט,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.56,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2008",2שעות 15דקות
איליין ארון,קריינות: עדי דרורי,ספר מוקלט,Storyside,2021,התפתחות אישית,4.78,עברית,"תאריך פרסום
ספר מוקלט: 26 ביולי 2021",11שעות 6דקות
אקהרט טול,קריינות: אילה זילברמן,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.62,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2002",7שעות 49דקות
סטיב סקוט,קריינות: עדי לב,ספר מוקלט,Storyside,2021,התפתחות אישית,4.37,עברית,"תאריך פרסום
ספר מוקלט: 21 בנובמבר 2021",6שעות 45דקות
ג'ן סינצ'רו,קריינות: רוני מורג,ספר מוקלט,Storyside,2022,התפתחות אישית,4.65,עברית,"תאריך פרסום
ספר מוקלט: 20 במרץ 2022",7שעות 44דקות
אוהד טופור,קריינות: רודיה קוזלובסקי,ספר מוקלט,Storyside,2022,התפתחות אישית,4.75,עברית,"תאריך פרסום
ספר מוקלט: 25 בדצמבר 2022",7שעות 48דקות
משה שרון,קריינות: משה שרון,ספר מוקלט,פראג,2022,התפתחות אישית,5,עברית,"תאריך פרסום
ספר מוקלט: 27 בדצמבר 2022",7שעות 46דקות
אדם גרנט,קריינות: רוני מורג,ספר מוקלט,Storyside,2023,התפתחות אישית,5,עברית,"תאריך פרסום
ספר מוקלט: 22 בינואר 2023",8שעות 19דקות
Ace McCloud,קריינות: Joshua Mackey,ספר מוקלט,Author's Republic,2020,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר מוקלט: 8 בנובמבר 2020",1שעות 17דקות
Ace McCloud,קריינות: Joshua Mackey,ספר מוקלט,Author's Republic,2020,התפתחות אישית,3.37,אנגלית,"תאריך פרסום
ספר מוקלט: 8 בנובמבר 2020",1שעות 33דקות
Emma Smith,קריינות: Casey Wyman,ספר מוקלט,Author's Republic,2020,התפתחות אישית,4,אנגלית,"תאריך פרסום
ספר מוקלט: 26 בינואר 2020",3שעות 17דקות
"ג'ו ויטלי וד""ר איהליאקלה הו לן",קריינות: עדי לב,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.45,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2012",5שעות 55דקות
דבי פורד,קריינות: טלי פולג,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.4,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2010",7שעות 14דקות
ברנדון בייס,קריינות: גבי ינון,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.6,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 3 בינואר 2018",6שעות 28דקות
טולקו תונדופ,קריינות: נועה לפידות,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.14,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2009",5שעות 56דקות
"ד""ר סוזן ג'פרס",קריינות: נגבה מאור,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.57,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2015",5שעות 58דקות
פמה צ'ודרון,קריינות: עדי חבין,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,5,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 בינואר 2017",4שעות 38דקות
דון מיגל רואיס,קריינות: אבשלום כהנא,ספר מוקלט,Storyside,2021,התפתחות אישית,4.55,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",7שעות 49דקות
ד״ר ג׳ון מ׳ גוטמן ונאן סילבר,קריינות: אייל שרף,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.36,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 1 במאי 2019",12שעות 31דקות
נטלי גולדברג,קריינות: רנה ורבין,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,0,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021
ספר דיגיטלי: 6 בינואר 2019",6שעות 31דקות
חיים שפירא,קריינות: חיים שפירא,ספר מוקלט,Storyside,2021,התפתחות אישית,4.56,עברית,"תאריך פרסום
ספר מוקלט: 29 במרץ 2021",7שעות 16דקות
Sophie Grace Meditations,קריינות: Sophie Grace Meditations,ספר מוקלט,Plotline Books,2021,התפתחות אישית,4.45,אנגלית,"תאריך פרסום
ספר מוקלט: 15 באפריל 2021",2שעות 14דקות
רייצ׳ל הוליס,קריינות: עדי דרורי,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2021,התפתחות אישית,4.7,עברית,"תאריך פרסום
ספר מוקלט: 26 ביולי 2021
ספר דיגיטלי: 1 בינואר 2021",7שעות 55דקות
דארן הארדי,קריינות: שי סיני וילוז'ני,ספר מוקלט,Storyside,2021,התפתחות אישית,4.68,עברית,"תאריך פרסום
ספר מוקלט: 1 בספטמבר 2021",5שעות 23דקות
Owen Fitzpatrick,קריינות: Owen Fitzpatrick,ספר מוקלט,HarperCollins,2014,התפתחות אישית,4.18,אנגלית,"תאריך פרסום
ספר מוקלט: 2 בינואר 2014",3שעות 6דקות
Neville Goddard,קריינות: Anderson Lincoln,ספר מוקלט,Author's Republic,2021,התפתחות אישית,4.67,אנגלית,"תאריך פרסום
ספר מוקלט: 6 בספטמבר 2021",17דקות
שחר בן-פורת,קריינות: שחר בן-פורת,ספר מוקלט,Storyside,2021,התפתחות אישית,4.21,עברית,"תאריך פרסום
ספר מוקלט: 25 בספטמבר 2021",2שעות 19דקות
תמי יגורי,קריינות: תמי יגורי,ספר מוקלט,Storyside,2021,התפתחות אישית,4.54,עברית,"תאריך פרסום
ספר מוקלט: 25 בספטמבר 2021",12שעות 5דקות
Maye Musk,קריינות: מאיה לוי,ספר מוקלט,Storyside,2022,התפתחות אישית,4.25,עברית,"תאריך פרסום
ספר מוקלט: 6 במרץ 2022",5שעות 5דקות
יוסי יסעור,קריינות: גבי ינון,ספר מוקלט,Storyside,2022,התפתחות אישית,4.67,עברית,"תאריך פרסום
ספר מוקלט: 31 במרץ 2022",2שעות 45דקות
ריץ' קרלגארד,קריינות: עדי לב,ספר מוקלט,Storyside,2022,התפתחות אישית,4.29,עברית,"תאריך פרסום
ספר מוקלט: 12 ביוני 2022",11שעות 20דקות
Michael Wickett,"קריינות: Michael Wickett, Ed Bernd, JoNell Lytle, Jose Luis Romero",ספר מוקלט,Nightingale Conant,2022,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר מוקלט: 27 בספטמבר 2022",7שעות 28דקות
Gary M. Douglas & Donnielle Carter,קריינות: Donnielle Carter,ספר מוקלט,Author's Republic,2018,התפתחות אישית,4.68,אנגלית,"תאריך פרסום
ספר מוקלט: 13 במרץ 2018",5שעות 5דקות
Distill Books,קריינות: AI Mary,ספר מוקלט,Distill Books,2022,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר מוקלט: 25 באוקטובר 2022",50דקות
ג'ון טירני,קריינות: רודיה קוזלובסקי,ספר מוקלט,Storyside,2022,התפתחות אישית,4.25,עברית,"תאריך פרסום
ספר מוקלט: 18 בדצמבר 2022",10שעות 32דקות
משה שרון,קריינות: משה שרון,ספר מוקלט,Storyside,2023,התפתחות אישית,5,עברית,"תאריך פרסום
ספר מוקלט: 12 במרץ 2023",6שעות 5דקות
Glenn Harrold,קריינות: Glenn Harrold,ספר מוקלט,Diviniti Publishing,2023,התפתחות אישית,5,אנגלית,"תאריך פרסום
ספר מוקלט: 3 באפריל 2023",42דקות
Jack Canfield,קריינות: Jack Canfield,ספר מוקלט,HarperCollins,2012,התפתחות אישית,4.54,אנגלית,"תאריך פרסום
ספר מוקלט: 5 באפריל 2012",6שעות 25דקות
Dr. Michael Greger,קריינות: Dr. Michael Greger,ספר מוקלט,Bluebird,2019,התפתחות אישית,4.38,אנגלית,"תאריך פרסום
ספר מוקלט: 12 בדצמבר 2019",23שעות 42דקות
David Bailey,קריינות: Jason Belvill,ספר מוקלט,Author's Republic,2019,התפתחות אישית,4.24,אנגלית,"תאריך פרסום
ספר מוקלט: 10 ביולי 2019",3שעות
Readtrepreneur Publishing,קריינות: Peter Prova,ספר מוקלט,Author's Republic,2019,התפתחות אישית,4.16,אנגלית,"תאריך פרסום
ספר מוקלט: 5 בספטמבר 2019",56דקות
Joe Vitale,קריינות: Joe Vitale,ספר מוקלט,Ascent Audio,2007,התפתחות אישית,4.11,אנגלית,"תאריך פרסום
ספר מוקלט: 19 באוקטובר 2007",4שעות 56דקות
Jonny Garrett,NaN,ספר דיגיטלי,Mango Media,2016,התפתחות אישית,4.33,אנגלית,"תאריך פרסום
ספר דיגיטלי: 22 בנובמבר 2016",NaN
Joe Vitale,קריינות: Joe Vitale,ספר מוקלט,Ascent Audio,2011,התפתחות אישית,4.41,אנגלית,"תאריך פרסום
ספר מוקלט: 27 ביוני 2011",3שעות 14דקות
Napoleon Hill,קריינות: Mitch Horowitz,ספר מוקלט,Gildan Media,2015,התפתחות אישית,4.29,אנגלית,"תאריך פרסום
ספר מוקלט: 1 בדצמבר 2015",47דקות
Dean Bokhari,קריינות: Dean Bokhari,ספר מוקלט,Flashbooks,2018,התפתחות אישית,4.02,אנגלית,"תאריך פרסום
ספר מוקלט: 1 במאי 2018",39דקות
Eric Dinyer,NaN,ספר דיגיטלי,Andrews McMeel Publishing,2013,התפתחות אישית,4.4,אנגלית,"תאריך פרסום
ספר דיגיטלי: 16 ביולי 2013",NaN
James H. O'Keefe,NaN,ספר דיגיטלי,Andrews McMeel Publishing,2013,התפתחות אישית,5,אנגלית,"תאריך פרסום
ספר דיגיטלי: 26 בפברואר 2013",NaN
B.J. Gallagher,NaN,ספר דיגיטלי,Andrews McMeel Publishing,2012,התפתחות אישית,4.33,אנגלית,"תאריך פרסום
ספר דיגיטלי: 18 בדצמבר 2012",NaN
Leinana Two Moons,NaN,ספר דיגיטלי,"Vegan Heritage Press, LLC",2016,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 19 באפריל 2016",NaN
Judith R. Bernstein,NaN,ספר דיגיטלי,"Andrews McMeel Publishing, LLC",2022,התפתחות אישית,1,אנגלית,"תאריך פרסום
ספר דיגיטלי: 24 במאי 2022",NaN
Susan Swimmer,NaN,ספר דיגיטלי,Andrews McMeel Publishing,2012,התפתחות אישית,4,אנגלית,"תאריך פרסום
ספר דיגיטלי: 11 בדצמבר 2012",NaN
Elizabeth Cogswell Baskin,NaN,ספר דיגיטלי,Andrews McMeel Publishing,2009,התפתחות אישית,4.25,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 במאי 2009",NaN
Karen Fischer,NaN,ספר דיגיטלי,Exisle,2018,התפתחות אישית,4,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בפברואר 2018",NaN
Charuca,קריינות: Charo Vargas,ספר מוקלט,Storyside,2020,התפתחות אישית,4.01,ספרדית,"תאריך פרסום
ספר מוקלט: 4 בספטמבר 2020",29דקות
Rockridge Press,NaN,ספר דיגיטלי,Callisto Media Inc.,2013,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 במאי 2013",NaN
Rockridge Press,NaN,ספר דיגיטלי,Rockridge Press,2013,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 13 במאי 2013",NaN
Joanna Ryde,NaN,ספר דיגיטלי,IMM Lifestyle Books,2015,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בספטמבר 2015",NaN
Rockridge Press,NaN,ספר דיגיטלי,Rockridge Press,2013,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 24 במאי 2013",NaN
Carol Wilson,NaN,ספר דיגיטלי,IMM Lifestyle Books,2015,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בספטמבר 2015",NaN
Rockridge Press,NaN,ספר דיגיטלי,Callisto Media Inc.,2013,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 במאי 2013",NaN
Rockridge Press,NaN,ספר דיגיטלי,Callisto Media Inc.,2013,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 28 ביוני 2013",NaN
IRB Media,NaN,ספר דיגיטלי,IRB Media,2016,התפתחות אישית,4,אנגלית,"תאריך פרסום
ספר דיגיטלי: 9 ביוני 2016",NaN
IRB Media,NaN,ספר דיגיטלי,IRB Media,2016,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 9 ביוני 2016",NaN
Joosr,NaN,ספר דיגיטלי,Joosr,2015,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 15 ביולי 2015",NaN
Joosr,NaN,ספר דיגיטלי,Joosr,2015,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 17 בספטמבר 2015",NaN
IRB Media,NaN,ספר דיגיטלי,IRB Media,2016,התפתחות אישית,3,אנגלית,"תאריך פרסום
ספר דיגיטלי: 9 ביוני 2016",NaN
Joosr,NaN,ספר דיגיטלי,Joosr,2015,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 22 באוקטובר 2015",NaN
Joosr,NaN,ספר דיגיטלי,Joosr,2015,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 28 בספטמבר 2015",NaN
IRB Media,NaN,ספר דיגיטלי,IRB Media,2015,התפתחות אישית,5,אנגלית,"תאריך פרסום
ספר דיגיטלי: 7 במאי 2015",NaN
IRB Media,NaN,ספר דיגיטלי,IRB Media,2015,התפתחות אישית,3.67,אנגלית,"תאריך פרסום
ספר דיגיטלי: 27 באפריל 2015",NaN
IRB Media,NaN,ספר דיגיטלי,IRB Media,2016,התפתחות אישית,4,אנגלית,"תאריך פרסום
ספר דיגיטלי: 9 ביוני 2016",NaN
Joosr,NaN,ספר דיגיטלי,Joosr,2016,התפתחות אישית,3.44,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 בינואר 2016",NaN
Joosr,NaN,ספר דיגיטלי,Joosr,2015,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 12 באוגוסט 2015",NaN
Joosr,NaN,ספר דיגיטלי,Joosr,2015,התפתחות אישית,3.8,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 ביולי 2015",NaN
Joosr,NaN,ספר דיגיטלי,Joosr,2016,התפתחות אישית,3.67,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 בינואר 2016",NaN
IRB Media,NaN,ספר דיגיטלי,IRB Media,2015,התפתחות אישית,4,אנגלית,"תאריך פרסום
ספר דיגיטלי: 7 בספטמבר 2015",NaN
Joosr,NaN,ספר דיגיטלי,Joosr,2016,התפתחות אישית,4,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 בינואר 2016",NaN
IRB Media,NaN,ספר דיגיטלי,IRB Media,2015,התפתחות אישית,4.5,אנגלית,"תאריך פרסום
ספר דיגיטלי: 7 ביוני 2015",NaN
Joosr,NaN,ספר דיגיטלי,Joosr,2016,התפתחות אישית,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 בינואר 2016",NaN
