book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,days_from_release,recording_minutes,recording_hours
חתולה וארנבון מחליפים בתים,דורית רביניאן, מיכה אוזין,0,0,2021.0,0,4.4,0,2021-03-29,791,5.0,0.0
כראמל (2) הנקמה,מאירה ברנע גולדברג, שירן גרוס,0,0,2021.0,0,4.69,0,2021-03-29,791,47.0,4.0
חבורת כוח המוח (13) בעקבות גנבי האופניים,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.73,0,2021-03-29,791,5.0,2.0
חבורת כוח המוח (14) - ורוח הרפאים,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.7,0,2021-03-29,791,14.0,2.0
חבורת כוח המוח (17) - והקלף המקולל,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.87,0,2021-03-29,791,7.0,2.0
חבורת כוח המוח (20) - עושים סדר!,זוהר אביב, נועה לפידות,0,0,2021.0,0,4.92,0,2021-03-29,791,12.0,2.0
חבורת כוח המוח (7) בעקבות הכסף האבוד,זוהר אביב, זוהר אביב,0,0,2021.0,0,5.0,0,2021-03-29,791,52.0,1.0
חבורת כוח המוח (24) - גול אחד יכול,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.67,0,2021-03-29,791,55.0,1.0
חבורת כוח המוח (6) והתקלה המסתורית,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.38,0,2021-03-29,791,3.0,2.0
חבורת כוח המוח (25) מסך שבור,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.7,0,2021-03-29,791,57.0,1.0
חבורת כוח המוח (5) וטבעת המזל,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.6,0,2021-03-29,791,44.0,1.0
חבורת כוח המוח (9) וההצגה הגדולה,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.75,0,2021-03-29,791,39.0,1.0
חבורת כוח המוח (8) והמסיבה המדליקה,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.89,0,2021-03-29,791,1.0,2.0
