book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,recording_length
The Unexpected Company,Era Tak,קריינות: Nikhil Sangha,ספר מוקלט,Storytel Original IN,2021,סיפורים קצרים,3.92,אנגלית,"תאריך פרסום
ספר מוקלט: 3 בפברואר 2021",13דקות
We Meet Again,Era Tak,קריינות: Shagufta Abrar,ספר מוקלט,Storytel Original IN,2021,סיפורים קצרים,4.05,אנגלית,"תאריך פרסום
ספר מוקלט: 10 בפברואר 2021",14דקות
The Glorious Mystery,Arthur Machen,NaN,ספר דיגיטלי,White Press,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 16 באוקטובר 2020",NaN
A Peculiar Kind of Immigrant's Son,Sergio Troncoso,קריינות: Timothy Andrés Pabon,ספר מוקלט,HighBridge Audio,2021,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר מוקלט: 16 בפברואר 2021",6שעות 30דקות
The Mad Kyoto Shoe Swapper and Other Short Stories,Rebecca Otowa,"קריינות: David Shih, Cindy Kay",ספר מוקלט,Tantor Audio,2021,סיפורים קצרים,4,אנגלית,"תאריך פרסום
ספר מוקלט: 23 בפברואר 2021",5שעות 3דקות
The Mysterious Correspondent: New Stories,Marcel Proust,קריינות: Simon Vance,ספר מוקלט,Tantor Audio,2021,סיפורים קצרים,4,אנגלית,"תאריך פרסום
ספר מוקלט: 3 ביוני 2021",2שעות 13דקות
"Ruiseñor Y La Rosa, El Cumpleaños De La Infanta",Oscar Wilde,קריינות: Carlos Zambrano,ספר מוקלט,YOYO USA,2020,סיפורים קצרים,4,ספרדית,"תאריך פרסום
ספר מוקלט: 29 באוקטובר 2020",59דקות
Beyond: The Stars,Scott Overton,קריינות: Scott Overton,ספר מוקלט,No Walls Publishing,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר מוקלט: 21 באוקטובר 2020",1שעות 29דקות
Gli stati e gli imperi della luna,Cyrano de Bergerac,קריינות: Roberto Arricale,ספר מוקלט,SAGA Egmont,2020,סיפורים קצרים,4.67,איטלקית,"תאריך פרסום
ספר מוקלט: 13 בנובמבר 2020",2שעות 42דקות
Holiday Hearts,Dana Volney,NaN,ספר דיגיטלי,Canelo Escape,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 5 בנובמבר 2020",NaN
Rothschild's Fiddle,Anton Chekhov. Translated by Constance Garnett.,קריינות: Douglas Harvey,ספר מוקלט,MP3 Audiobook Classics,2020,סיפורים קצרים,2.5,אנגלית,"תאריך פרסום
ספר מוקלט: 25 באוקטובר 2020",25דקות
El caso de la señorita Amelia,Rubén Darío,NaN,ספר דיגיטלי,SAGA Egmont,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 13 בנובמבר 2020",NaN
Bola De Sebo Y Otras Narraciones,Guy de Maupassant,קריינות: Laura Garcìa,ספר מוקלט,YOYO USA,2020,סיפורים קצרים,3.5,ספרדית,"תאריך פרסום
ספר מוקלט: 29 באוקטובר 2020",2שעות 48דקות
El Contrabajo Y Otros Cuentos Humoristicos,Anton Chekhov,קריינות: Carlos J. Vega,ספר מוקלט,YOYO USA,2020,סיפורים קצרים,4.67,ספרדית,"תאריך פרסום
ספר מוקלט: 29 באוקטובר 2020",2שעות 53דקות
And the Mom Ran Away With the Moon,J. R. Nichols,קריינות: Jamie Hershberger,ספר מוקלט,Articulate Expression,2020,סיפורים קצרים,3,אנגלית,"תאריך פרסום
ספר מוקלט: 29 באוקטובר 2020",26דקות
Judgement,Mike Jones,קריינות: Mike Jones,ספר מוקלט,Mike Jones,2020,סיפורים קצרים,3.5,אנגלית,"תאריך פרסום
ספר מוקלט: 30 באוקטובר 2020",19דקות
"Alles sauber, alles neu",Arnd Brummer,NaN,ספר דיגיטלי,edition chrismon,2008,סיפורים קצרים,0,גרמנית,"תאריך פרסום
ספר דיגיטלי: 21 במאי 2008",NaN
Der Fluch des Taxifahrers,Arnd Brummer,NaN,ספר דיגיטלי,edition chrismon,2007,סיפורים קצרים,0,גרמנית,"תאריך פרסום
ספר דיגיטלי: 28 בספטמבר 2007",NaN
Ariete. Antología de la más joven literatura cubana,Raúl Aguiar,קריינות: Diana Huicochea,ספר מוקלט,Storyside,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר מוקלט: 13 בנובמבר 2020",4שעות 57דקות
Tales of Louisiana Life: Bayou Folk & A Night in Acadie,Kate Chopin,NaN,ספר דיגיטלי,e-artnow,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 26 באוקטובר 2020",NaN
Chameleon Short stories of the Supernatural,Christina de Mello,NaN,ספר דיגיטלי,Leadstart Publishing Pvt Ltd (Frog Books),2013,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 באוקטובר 2013",NaN
The Vigil and Other Stories,Gita V. Ready,NaN,ספר דיגיטלי,Leadstart Publishing Pvt Ltd,2013,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 במרץ 2013",NaN
The Garden Party,Katherine Mansfield,קריינות: Marguerite Gavin,ספר מוקלט בנוסף ספר דיגיטלי,Blackstone Publishing,2008,סיפורים קצרים,3.5,אנגלית,"תאריך פרסום
ספר מוקלט: 11 בנובמבר 2008
ספר דיגיטלי: 29 במאי 2018",6שעות 42דקות
"Inhalando tics, bombeando tacs",Gulluver,NaN,ספר דיגיטלי,Editorial Autores de Argentina,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 30 באוקטובר 2020",NaN
"Ja, toll!",Ursula Ott,NaN,ספר דיגיטלי,edition chrismon,2008,סיפורים קצרים,0,גרמנית,"תאריך פרסום
ספר דיגיטלי: 7 באוקטובר 2008",NaN
La lógica del daño,Luz Vitolo,NaN,ספר דיגיטלי,Odelia editora,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 20 באפריל 2020",NaN
Setenta veces siete,Dalmiro Sáenz,קריינות: Miguel Pardo,ספר מוקלט,Storyside,2020,סיפורים קצרים,4,ספרדית,"תאריך פרסום
ספר מוקלט: 10 בדצמבר 2020",3שעות 50דקות
Cuentos,Carlos Castán,NaN,ספר דיגיטלי,Editorial Páginas de Espuma,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 4 בנובמבר 2020",NaN
Amok,Stefan Zweig,קריינות: Francesc Góngora,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2020,סיפורים קצרים,4.2,ספרדית,"תאריך פרסום
ספר מוקלט: 11 בנובמבר 2020
ספר דיגיטלי: 30 במרץ 2011",7שעות 2דקות
Sherlock Holmes: La colección completa,Arthur Conan Doyle,NaN,ספר דיגיטלי,Moon Classics,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 4 בנובמבר 2020",NaN
¿Te cuento un vino?,Enrique López,NaN,ספר דיגיטלי,Letrame Grupo Editorial,2020,סיפורים קצרים,3,ספרדית,"תאריך פרסום
ספר דיגיטלי: 5 בנובמבר 2020",NaN
No Place for Happiness,Erika Lance,NaN,ספר דיגיטלי,4 Horsemen Publications,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 26 באוקטובר 2020",NaN
Illusions of Happiness,Erika Lance,NaN,ספר דיגיטלי,4 Horsemen Publications,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 26 באוקטובר 2020",NaN
"Manek Mischiefs: Of Patriarchs, Playboys and Paramours",Lee Su Kim,NaN,ספר דיגיטלי,MarshallCavendishEditions,2017,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 15 ביוני 2017",NaN
A Shadow of A Shadow of A Dream,Catherine Lim,NaN,ספר דיגיטלי,MarshallCavendishEditions,2017,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 10 באוקטובר 2017",NaN
Deadline for Love and Other Stories,Catherine Lim,NaN,ספר דיגיטלי,MarshallCavendishEditions,2017,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 10 באוקטובר 2017",NaN
The Howling Silence:,Catherine Lim,NaN,ספר דיגיטלי,MarshallCavendishEditions,2017,סיפורים קצרים,5,אנגלית,"תאריך פרסום
ספר דיגיטלי: 10 באוקטובר 2017",NaN
Track Faults and Other Glitches,Nicholas Yong,NaN,ספר דיגיטלי,MarshallCavendishEditions,2017,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 3 באפריל 2017",NaN
The Collected Short Stories of Gopal Baratham,Gopal Baratham,NaN,ספר דיגיטלי,MarshallCavendishEditions,2014,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 12 בדצמבר 2014",NaN
The Claire Tham Collection,Claire Tham,NaN,ספר דיגיטלי,MarshallCavendishEditions,2015,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 27 באפריל 2015",NaN
Microficciones de la Pandemia y Otras Revelaciones,Jorge H. Ortiz,NaN,ספר דיגיטלי,Editorial Autores de Argentina,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 5 בנובמבר 2020",NaN
El pan nuestro,Gilda Salinas,NaN,ספר דיגיטלי,Trópico de Escorpio,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 4 בנובמבר 2020",NaN
Y si fuera cierto,David Estopier,NaN,ספר דיגיטלי,Trópico de Escorpio,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 5 בנובמבר 2020",NaN
Green Snake: A Case from the GGPD Files,Michèle Laframboise,NaN,ספר דיגיטלי,Echofictions,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 28 בספטמבר 2020",NaN
Silence,Meg Hendry,קריינות: Meg Hendry,ספר מוקלט,Parker Press,2020,סיפורים קצרים,3,אנגלית,"תאריך פרסום
ספר מוקלט: 3 בספטמבר 2020",22דקות
Night Light,Meg Hendry,קריינות: Meg Hendry,ספר מוקלט,Parker Press,2020,סיפורים קצרים,3,אנגלית,"תאריך פרסום
ספר מוקלט: 3 בספטמבר 2020",12דקות
The Short Stories of Mark Twain,Mark Twain,NaN,ספר דיגיטלי,Read & Co. Classics,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 6 בנובמבר 2020",NaN
The Mysterious Stranger and Other Stories,Mark Twain,NaN,ספר דיגיטלי,Read & Co. Classics,2014,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 15 באפריל 2014",NaN
Land of Big Numbers,Te-Ping Chen,"קריינות: Lynn Chen, Katie Tang, Eddy Lee, Fiona Rene, Chris Naoki Lee, Matt Yang King, Christine Lakin",ספר מוקלט,HarperAudio,2021,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר מוקלט: 2 בפברואר 2021",6שעות 35דקות
Celebration of The Cells letters from a cancer survivor,R.M. Lala,קריינות: Tom Alter,ספר מוקלט,Storyside IN,2020,סיפורים קצרים,4.5,אנגלית,"תאריך פרסום
ספר מוקלט: 10 בנובמבר 2020",56דקות
The Homely Heroine,Edna Ferber,קריינות: Phil Chenevert,ספר מוקלט,SAGA Egmont,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר מוקלט: 24 בנובמבר 2020",1שעות 37דקות
Bermetha and The Whale,Beard Bates,קריינות: The Incarcerated Man,ספר מוקלט,Ubiquitome,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר מוקלט: 4 בספטמבר 2020",24דקות
Los girasoles ciegos,Alberto Méndez,קריינות: Mario Gas,ספר מוקלט,Editorial Anagrama,2020,סיפורים קצרים,4.37,ספרדית,"תאריך פרסום
ספר מוקלט: 16 בנובמבר 2020",4שעות 52דקות
The Prince,Niccolò Machiavelli,NaN,ספר דיגיטלי,Moon Classics,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 9 בנובמבר 2020",NaN
Relatos nada sexis,Guadalupe Eichelbaum,NaN,ספר דיגיטלי,Ménades Editorial,2020,סיפורים קצרים,3,ספרדית,"תאריך פרסום
ספר דיגיטלי: 9 בנובמבר 2020",NaN
The Law of Life,Jack London,NaN,ספר דיגיטלי,SAGA Egmont,2020,סיפורים קצרים,4,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 בנובמבר 2020",NaN
In the Forests of the North,Jack London,NaN,ספר דיגיטלי,SAGA Egmont,2020,סיפורים קצרים,5,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 בנובמבר 2020",NaN
The League of the Old Men,Jack London,NaN,ספר דיגיטלי,SAGA Egmont,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 בנובמבר 2020",NaN
The Sunlanders,Jack London,NaN,ספר דיגיטלי,SAGA Egmont,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 בנובמבר 2020",NaN
"Li Wan, The Fair",Jack London,NaN,ספר דיגיטלי,SAGA Egmont,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 בנובמבר 2020",NaN
The Death of Ligoun,Jack London,NaN,ספר דיגיטלי,SAGA Egmont,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 בנובמבר 2020",NaN
Nam-Bok the Unveracious,Jack London,NaN,ספר דיגיטלי,SAGA Egmont,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 בנובמבר 2020",NaN
