book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,recording_length
The Time Machine,H.G. Wells,NaN,ספר דיגיטלי,Mint Editions,2020,סיפורים קצרים,4.5,אנגלית,"תאריך פרסום
ספר דיגיטלי: 23 ביוני 2020",NaN
La Dama del Perrito,Antón Chéjov,קריינות: Benjamín Figueres,ספר מוקלט,SAGA Egmont,2020,סיפורים קצרים,3.83,ספרדית,"תאריך פרסום
ספר מוקלט: 3 בנובמבר 2020",44דקות
Come Let Us Sin,PJJ Antony,NaN,ספר דיגיטלי,Leadstart Publishing Pvt Ltd (Vitamin - B),2019,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בינואר 2019",NaN
Beneath the Snows of Kanchenjunga,S Sekhar,NaN,ספר דיגיטלי,Leadstart Publishing Pvt Ltd (Frog Books),2017,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 4 באפריל 2017",NaN
Tales From Shakespeare,Tina Packer,קריינות: Tina Packer,ספר מוקלט,Alison Larkin Presents,2020,סיפורים קצרים,4,אנגלית,"תאריך פרסום
ספר מוקלט: 2 באוקטובר 2020",5שעות 33דקות
Fronteras de humo,Ángel Galeano Higua,NaN,ספר דיגיטלי,Universidad EAFIT,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 20 באוקטובר 2020",NaN
La vita è un'altra storia,John Barth,קריינות: Diego Baldoin,ספר מוקלט,Storyside,2020,סיפורים קצרים,4,איטלקית,"תאריך פרסום
ספר מוקלט: 16 בנובמבר 2020",10שעות 12דקות
Someone Saved My Life Tonight,T. M. Bilderback,קריינות: Scott O’Neill,ספר מוקלט,Sardis County Sentinel Press,2021,סיפורים קצרים,3,אנגלית,"תאריך פרסום
ספר מוקלט: 28 בינואר 2021",37דקות
Y al final no pasa nada: Historias relajantes para calmar tu mente y ayudarte a dormir,Kathryn Nicolai,קריינות: Laura Monedero,ספר מוקלט,Planeta Audio,2020,סיפורים קצרים,4.32,ספרדית,"תאריך פרסום
ספר מוקלט: 27 באוקטובר 2020",7שעות 41דקות
The Kingdom of Ash,Alexandria Jones,NaN,ספר דיגיטלי,BookRix,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 19 באוקטובר 2020",NaN
Colores: Las Voces Del Alma,Patrizia Barrera,קריינות: Adriana Rios,ספר מוקלט,Tektime,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר מוקלט: 21 באוקטובר 2020",2שעות 40דקות
Law of Jiluk,G A Kulkarni,NaN,ספר דיגיטלי,Leadstart Publishing Pvt Ltd (Platinum Press),2014,סיפורים קצרים,1,אנגלית,"תאריך פרסום
ספר דיגיטלי: 22 בדצמבר 2014",NaN
Lo que no se olvida: Maravillosas historias entre cuidadores y cuidadoras con sus pacientes,Susana Miguélez,NaN,ספר דיגיטלי,NPQ Editores,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 21 באוקטובר 2020",NaN
"""La división"" de Matías Candeira",Jorge Carrión,קריינות: Arancha Del Toro,ספר מוקלט,Storytel Original,2020,סיפורים קצרים,3.9,ספרדית,"תאריך פרסום
ספר מוקלט: 25 באוקטובר 2020",45דקות
"""Orilleras"" de Ana Llurba",Jorge Carrión,קריינות: Andrea Marchionni,ספר מוקלט,Storytel Original,2020,סיפורים קצרים,4.42,ספרדית,"תאריך פרסום
ספר מוקלט: 25 באוקטובר 2020",42דקות
"""Nuestro psicópata favorito"" de Bernardo Esquinca",Bernardo Esquinca,קריינות: Ignacio Casas,ספר מוקלט,Storytel Original,2020,סיפורים קצרים,4.27,ספרדית,"תאריך פרסום
ספר מוקלט: 25 באוקטובר 2020",46דקות
"""La bestia libre"" de Daniela Tarazona",Jorge Carrión,קריינות: Alex Ortega,ספר מוקלט,Storytel Original,2020,סיפורים קצרים,3.81,ספרדית,"תאריך פרסום
ספר מוקלט: 25 באוקטובר 2020",41דקות
"""Emergencia"" de Ismael Martínez Biurrun",Jorge Carrión,קריינות: Javier Espejo,ספר מוקלט,Storytel Original,2020,סיפורים קצרים,3.92,ספרדית,"תאריך פרסום
ספר מוקלט: 25 באוקטובר 2020",51דקות
"""Slasher"" de Mónica Ojeda",Jorge Carrión,קריינות: Regina Blandón,ספר מוקלט,Storytel Original,2020,סיפורים קצרים,4.12,ספרדית,"תאריך פרסום
ספר מוקלט: 25 באוקטובר 2020",46דקות
"""Lobos y castores"" de Rodrigo Blanco Calderón",Jorge Carrión,קריינות: Rojo Córdova,ספר מוקלט,Storytel Original,2020,סיפורים קצרים,3.83,ספרדית,"תאריך פרסום
ספר מוקלט: 25 באוקטובר 2020",45דקות
"""Asamblea"" de Alberto Chimal",Jorge Carrión,קריינות: Víctor Duroc,ספר מוקלט,Storytel Original,2020,סיפורים קצרים,4.32,ספרדית,"תאריך פרסום
ספר מוקלט: 25 באוקטובר 2020",45דקות
Hungry Hearts,Anzia Yezierska,NaN,ספר דיגיטלי,Wilder Publications,2021,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בינואר 2021",NaN
Cigarrales de Toledo,Tirso de Molina,NaN,ספר דיגיטלי,SAGA Egmont,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 11 בנובמבר 2020",NaN
Sticky Fingers: Box Set Collection 2,JT Lawrence,קריינות: Roshina Ratnam,ספר מוקלט,Fire Finch Press,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר מוקלט: 6 באוקטובר 2020",14שעות 38דקות
"The strange case of Dr. Jekyll and Mr. Hyde (Active TOC, Free Audiobook)",Robert Louis Stevenson,NaN,ספר דיגיטלי,The griffin classics,2020,סיפורים קצרים,3,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 באוקטובר 2020",NaN
Total digital,Holm Roch,קריינות: Hildegard Steiner,ספר מוקלט,GD Publishing,2020,סיפורים קצרים,0,גרמנית,"תאריך פרסום
ספר מוקלט: 26 באוקטובר 2020",59דקות
The Waffle Nazi's Daughter,Tikiri Herath,NaN,ספר דיגיטלי,Nefertiti Press,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 31 באוקטובר 2020",NaN
The Complete Firebirds,M.L. Buchman,NaN,ספר דיגיטלי,"Buchman Bookworks, Inc.",2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 באוקטובר 2020",NaN
The Complete Delta Force Warriors,M.L. Buchman,NaN,ספר דיגיטלי,"Buchman Bookworks, Inc.",2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 באוקטובר 2020",NaN
The Complete Delta Force Shooters,M.L. Buchman,NaN,ספר דיגיטלי,"Buchman Bookworks, Inc.",2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 באוקטובר 2020",NaN
The Complete Night Stalkers 5E Stories,M.L. Buchman,NaN,ספר דיגיטלי,"Buchman Bookworks, Inc.",2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 25 באוקטובר 2020",NaN
Camino propio: Microrrelatos y otros textos,Gabriel Diosques,NaN,ספר דיגיטלי,Editorial Autores de Argentina,2020,סיפורים קצרים,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 23 באוקטובר 2020",NaN
Se è scritto si farà ed altri racconti brevi,Romano Scaramuzzino,קריינות: Stefano Trillini,ספר מוקלט,Booksprint,2020,סיפורים קצרים,0,איטלקית,"תאריך פרסום
ספר מוקלט: 24 באוקטובר 2020",1שעות 3דקות
The Horror Stories of H. P. Lovecraft,H.P. Lovecraft,קריינות: Cathy Dobson,ספר מוקלט,Red Door Consulting,2020,סיפורים קצרים,1,אנגלית,"תאריך פרסום
ספר מוקלט: 5 בפברואר 2020",4שעות 17דקות
The Complete Hotshots,M.L. Buchman,NaN,ספר דיגיטלי,"Buchman Bookworks, Inc.",2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 28 בינואר 2020",NaN
Confessions of a Five-Chambered Heart,Caitlin R. Kiernan,"קריינות: Robert Fass, Suzanne Toren, Bronson Pinchot, Gabra Zackman, Lisa Flanagan, Lorna Bennett, Various Narrators, Lauren Ezzo, Jayme Mattler, Kevin Kenerly",ספר מוקלט,Blackstone Publishing,2020,סיפורים קצרים,0,אנגלית,"תאריך פרסום
ספר מוקלט: 27 באוקטובר 2020",13שעות 31דקות
L’albero della vita,Maria Grazia Schiavone,קריינות: Stefano Trillini,ספר מוקלט,Booksprint,2020,סיפורים קצרים,0,איטלקית,"תאריך פרסום
ספר מוקלט: 27 באוקטובר 2020",1שעות 55דקות
Ten Things My Father Never Taught Me and Other Stories,Cyril Wong,קריינות: Benjamin Chow,ספר מוקלט בנוסף ספר דיגיטלי,Storyside,2020,סיפורים קצרים,3.8,אנגלית,"תאריך פרסום
ספר מוקלט: 30 באוקטובר 2020
ספר דיגיטלי: 1 באוקטובר 2016",5שעות 14דקות
Cmentarz Zielonego Krzyża,Andriej Kotin,קריינות: Robert Michalak,ספר מוקלט בנוסף ספר דיגיטלי,SAGA Egmont,2020,סיפורים קצרים,3.8,פולנית,"תאריך פרסום
ספר מוקלט: 9 בנובמבר 2020
ספר דיגיטלי: 27 באוגוסט 2020",18דקות
Volar a casa,Daniel Monedero,NaN,ספר דיגיטלי,Editorial Páginas de Espuma,2020,סיפורים קצרים,5,ספרדית,"תאריך פרסום
ספר דיגיטלי: 28 באוקטובר 2020",NaN
The Pill,Mike Jones,קריינות: Mike Jones,ספר מוקלט,Mike Jones,2020,סיפורים קצרים,2,אנגלית,"תאריך פרסום
ספר מוקלט: 28 באוקטובר 2020",21דקות
The Pill 2,Mike Jones,קריינות: Mike Jones,ספר מוקלט,Mike Jones,2020,סיפורים קצרים,2,אנגלית,"תאריך פרסום
ספר מוקלט: 28 באוקטובר 2020",24דקות
The Worm,Mike Jones,קריינות: Mike Jones,ספר מוקלט,Mike Jones,2020,סיפורים קצרים,3,אנגלית,"תאריך פרסום
ספר מוקלט: 28 באוקטובר 2020",30דקות
The Heist,Amol Raikar,קריינות: Vineet Mahajan,ספר מוקלט,Storytel Original IN,2020,סיפורים קצרים,3.78,אנגלית,"תאריך פרסום
ספר מוקלט: 30 באוקטובר 2020",12דקות
Second Class Romance,Amol Raikar,קריינות: Elvis Mathias,ספר מוקלט,Storytel Original IN,2020,סיפורים קצרים,4.08,אנגלית,"תאריך פרסום
ספר מוקלט: 13 בנובמבר 2020",10דקות
The Headless Murders,Amol Raikar,קריינות: Elvis Mathias,ספר מוקלט,Storytel Original IN,2020,סיפורים קצרים,4.24,אנגלית,"תאריך פרסום
ספר מוקלט: 6 בנובמבר 2020",12דקות
The Summit,Amol Raikar,קריינות: Vineet Mahajan,ספר מוקלט,Storytel Original IN,2020,סיפורים קצרים,4.05,אנגלית,"תאריך פרסום
ספר מוקלט: 27 בנובמבר 2020",12דקות
Tonight's Murder Plan,Amol Raikar,קריינות: Vineet Mahajan,ספר מוקלט,Storytel Original IN,2020,סיפורים קצרים,3.64,אנגלית,"תאריך פרסום
ספר מוקלט: 20 בנובמבר 2020",12דקות
Aladin and the AI Genie,Sophia John,קריינות: Elvis Mathias,ספר מוקלט,Storytel Original IN,2021,סיפורים קצרים,3.23,אנגלית,"תאריך פרסום
ספר מוקלט: 1 בינואר 2021",18דקות
CRY-BORG,Sophia John,קריינות: Shilpi Tiwari,ספר מוקלט,Storytel Original IN,2020,סיפורים קצרים,3.57,אנגלית,"תאריך פרסום
ספר מוקלט: 4 בדצמבר 2020",12דקות
Cyborg Cinderella,Sophia John,קריינות: Shilpi Tiwari,ספר מוקלט,Storytel Original IN,2020,סיפורים קצרים,3.11,אנגלית,"תאריך פרסום
ספר מוקלט: 25 בדצמבר 2020",9דקות
Mind Games,Sophia John,קריינות: Elvis Mathias,ספר מוקלט,Storytel Original IN,2020,סיפורים קצרים,3.41,אנגלית,"תאריך פרסום
ספר מוקלט: 11 בדצמבר 2020",13דקות
Valentine,Sophia John,קריינות: Vineet Mahajan,ספר מוקלט,Storytel Original IN,2020,סיפורים קצרים,2.2,אנגלית,"תאריך פרסום
ספר מוקלט: 18 בדצמבר 2020",12דקות
Life Partner,Manish Tiwari,קריינות: Shagufta Abrar,ספר מוקלט,Storytel Original IN,2020,סיפורים קצרים,3.91,אנגלית,"תאריך פרסום
ספר מוקלט: 16 בדצמבר 2020",9דקות
Love Proposal,Kush Vaishnav,קריינות: Nikhil Sangha,ספר מוקלט,Storytel Original IN,2020,סיפורים קצרים,3.56,אנגלית,"תאריך פרסום
ספר מוקלט: 23 בדצמבר 2020",11דקות
Love Impossible,Manish Tiwari,קריינות: Shagufta Abrar,ספר מוקלט,Storytel Original IN,2020,סיפורים קצרים,3.83,אנגלית,"תאריך פרסום
ספר מוקלט: 9 בדצמבר 2020",44דקות
Raincheck,Peeyush Shrivastava,קריינות: Nikhil Sangha,ספר מוקלט,Storytel Original IN,2020,סיפורים קצרים,3.62,אנגלית,"תאריך פרסום
ספר מוקלט: 30 בדצמבר 2020",17דקות
Sea of love,Kush Vaishnav,קריינות: Nikhil Sangha,ספר מוקלט,Storytel Original IN,2021,סיפורים קצרים,3.51,אנגלית,"תאריך פרסום
ספר מוקלט: 6 בינואר 2021",12דקות
Seven Years Later,Manish Tiwari,קריינות: Nikhil Sangha,ספר מוקלט,Storytel Original IN,2021,סיפורים קצרים,3.91,אנגלית,"תאריך פרסום
ספר מוקלט: 13 בינואר 2021",13דקות
Silver Lining,Jayanti Ranganathan,קריינות: Shagufta Abrar,ספר מוקלט,Storytel Original IN,2021,סיפורים קצרים,4,אנגלית,"תאריך פרסום
ספר מוקלט: 20 בינואר 2021",12דקות
Switch,Nitin Mishra,קריינות: Nikhil Sangha,ספר מוקלט,Storytel Original IN,2021,סיפורים קצרים,2.89,אנגלית,"תאריך פרסום
ספר מוקלט: 27 בינואר 2021",13דקות
