book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,days_from_release,recording_minutes,recording_hours
Judge's Dreams 1,Juan Moisés de la Serna, Dave Currier,Aoudio book,Tektime,2020.0,Science fiction and fantasy,0.0,English,2020-10-15,970,28.0,3.0
El efecto Midas,Manuel Dorado, Joan Mora,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,3.67,Spanish,2020-10-29,956,55.0,14.0
Las colonias del sistema solar,Luis Ángel Fernández de Betoño, Carlos Quintero,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,4.08,Spanish,2020-10-29,956,1.0,9.0
La baronesa,Ralph Barby, Pablo López,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,4.0,Spanish,2020-10-29,956,20.0,8.0
El retrato del Sr. W. H.,Oscar Wilde, Pablo López,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,3.75,Spanish,2020-10-29,956,26.0,1.0
La vida secreta de la última wiccana,Gema Tacon, Eva Coll,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,3.86,Spanish,2020-10-29,956,5.0,7.0
El forastero misterioso,Mark Twain, Chema Agulló,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,4.04,Spanish,2020-10-29,956,23.0,4.0
Ritual,Noa Xireau, Eva Coll,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,4.07,Spanish,2020-10-29,956,49.0,14.0
"Miedo, el universo de Stephen King",Claudio Hernández, Pablo López,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,3.33,Spanish,2020-10-29,956,7.0,1.0
"Thor, el iniciado",Helen Flix, Mariluz Parras,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,4.0,Spanish,2020-10-29,956,49.0,7.0
Trono para una monja,Ralph Barby, Pablo López,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,2.67,Spanish,2020-10-29,956,24.0,7.0
Tres reyes para Sarah,Noa Xireau, Mariluz Parra,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,3.35,Spanish,2020-10-29,956,25.0,6.0
El murmullo,Milo J. Krmpotic, Germán Gijón,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,3.33,Spanish,2020-10-29,956,35.0,4.0
The Ruby Locket,Melissa Wray,No announcer,Digital book,Odyssey Books,2020.0,Science fiction and fantasy,4.0,English,2020-10-20,965,0.0,0.0
Prometheus Ascending,D. F. Wink,No announcer,Digital book,Story Artist,2020.0,Science fiction and fantasy,2.0,English,2020-10-23,962,0.0,0.0
Jeśli wrócisz,Nikodem Pałasz, Marcin Popczyński,Aoudio book & Digital book,SAGA Egmont,2020.0,Science fiction and fantasy,4.63,Polish,2020-10-26,959,48.0,6.0
Frankenstein or The Modern Prometheus,Mary Wollstonecraft Shelley,No announcer,Digital book,Wildside Press,2020.0,Science fiction and fantasy,0.0,English,2020-10-11,974,0.0,0.0
Double-Cross,Frederik Pohl,No announcer,Digital book,Wildside Press,2020.0,Science fiction and fantasy,0.0,English,2020-10-11,974,0.0,0.0
Mask of Death,Paul Ernst,No announcer,Digital book,Wildside Press,2020.0,Science fiction and fantasy,0.0,English,2020-10-11,974,0.0,0.0
Horizon Storms,Kevin J. Anderson, George Guidall,Aoudio book,"Recorded Books, Inc.",2020.0,Science fiction and fantasy,4.26,English,2020-10-20,965,46.0,18.0
"A Forest of Stars ""International Edition""",Kevin J. Anderson, George Guidall,Aoudio book,"Recorded Books, Inc.",2020.0,Science fiction and fantasy,4.56,English,2020-10-20,965,42.0,20.0
"Hidden Empire ""International Edition""",Kevin J. Anderson, George Guidall,Aoudio book,"Recorded Books, Inc.",2020.0,Science fiction and fantasy,4.12,English,2020-10-20,965,6.0,20.0
An Agent of Utopia,Andy Duncan," Andy Duncan, Beresford Bennett",Aoudio book,"Recorded Books, Inc.",2020.0,Science fiction and fantasy,0.0,English,2020-10-20,965,11.0,0.0
Burdens of the Dead,Dave Freer, Richard Ferrone,Aoudio book,"Recorded Books, Inc.",2020.0,Science fiction and fantasy,0.0,English,2020-10-20,965,14.0,18.0
The Chosen,S.M. Stirling, Franklin Pierson,Aoudio book,"Recorded Books, Inc.",2020.0,Science fiction and fantasy,4.29,English,2020-10-20,965,32.0,17.0
The Dragon Queen of Jupiter,Leigh Brackett,No announcer,Digital book,Positronic Publishing,2020.0,Science fiction and fantasy,0.0,English,2020-09-26,989,0.0,0.0
Wilkołak Drago,Jerzy Grundkowski, Roch Siemianowski,Aoudio book,Storybox,2020.0,Science fiction and fantasy,3.22,Polish,2020-10-22,963,8.0,7.0
Sistersong,Lucy Holland, Robyn Holdaway,Aoudio book,Pan Macmillan,2021.0,Science fiction and fantasy,4.13,English,2021-04-01,802,16.0,14.0
Rok 1984,George Orwell, Wojciech Masiak,Aoudio book,POTOP,2021.0,Science fiction and fantasy,4.7,Polish,2021-01-02,891,38.0,9.0
Folwark zwierzęcy,George Orwell, Wojciech Masiak,Aoudio book,POTOP,2021.0,Science fiction and fantasy,4.77,Polish,2021-01-04,889,6.0,3.0
Sky Rider: El mar de nubes,Soleil Bessadie,No announcer,Digital book,Letrame Grupo Editorial,2020.0,Science fiction and fantasy,0.0,Spanish,2020-10-19,966,0.0,0.0
El secreto del elixir mágico,Óscar Hernández Campano,No announcer,Digital book,Editorial Sargantana,2020.0,Science fiction and fantasy,0.0,Spanish,2020-10-18,967,0.0,0.0
Hades Online: Der Weiße Ritter,Alex Itsios,No announcer,Digital book,Tektime,2020.0,Science fiction and fantasy,0.0,German,2020-10-17,968,0.0,0.0
Stefan Zweig: Sternstunden der Menschheit,Stefan Zweig,No announcer,Digital book,EClassica,2020.0,Science fiction and fantasy,0.0,German,2020-11-02,952,0.0,0.0
La isla de los olvidados,María Vanacloig,No announcer,Digital book,Editorial Sargantana,2020.0,Science fiction and fantasy,0.0,Spanish,2020-10-18,967,0.0,0.0
Progeniem,María Cuesta,No announcer,Digital book,Editorial Sargantana,2020.0,Science fiction and fantasy,0.0,Spanish,2020-10-18,967,0.0,0.0
WTF?!,Sabrina Frenkler,No announcer,Digital book,BookRix,2021.0,Science fiction and fantasy,0.0,German,2021-12-26,533,0.0,0.0
Folklore from Yetaboo Island,The Croyawms,No announcer,Digital book,BookRix,2020.0,Science fiction and fantasy,0.0,English,2020-10-16,969,0.0,0.0
Perry Rhodan Neo 248: Kybernetische Brandung,Rainer Schorm,No announcer,Digital book,Perry Rhodan digital,2021.0,Science fiction and fantasy,0.0,German,2021-03-18,816,0.0,0.0
Hell's Horizon: Episode 1,Richard Fox," Giancarlo Esposito, Eric Dane",Aoudio book,Podium Audio,2021.0,Science fiction and fantasy,4.33,English,2021-01-22,871,55.0,1.0
The Hand That Takes,Taylor O'Connell, Markham Anderson,Aoudio book,Taylor O'Connell,2020.0,Science fiction and fantasy,0.0,English,2020-10-01,984,22.0,7.0
Undead Ultra,Camille Picott, Gwendolyn Druyor,Aoudio book,Camille Picott,2020.0,Science fiction and fantasy,3.82,English,2020-10-02,983,53.0,11.0
La Escalera De Cristal,Alessandra Grosso, Valeria Oddone,Aoudio book,Tektime,2020.0,Science fiction and fantasy,0.0,Spanish,2020-10-19,966,29.0,3.0
Metropolis,Thea von Harbou,No announcer,Digital book,Positronic Publishing,2020.0,Science fiction and fantasy,0.0,English,2020-10-16,969,0.0,0.0
Dungeon Busters: Volume 1,Toma Shinozaki,No announcer,Digital book,J-Novel Club,2021.0,Science fiction and fantasy,3.33,English,2021-01-03,890,0.0,0.0
Misión Eyre,Rosa Bravo,No announcer,Digital book,ReaDuck Ediciones,2020.0,Science fiction and fantasy,2.0,Spanish,2020-10-20,965,0.0,0.0
Eclipse,Miguel Angel Naharro,No announcer,Digital book,ReaDuck Ediciones,2020.0,Science fiction and fantasy,0.0,Spanish,2020-10-20,965,0.0,0.0
Jeśli przyjdziesz,Nikodem Pałasz, Marcin Popczyński,Aoudio book & Digital book,SAGA Egmont,2020.0,Science fiction and fantasy,4.68,Polish,2020-11-02,952,44.0,6.0
En las montañas de la locura,H.P. Lovecraft, Albert Cortés,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,3.9,Spanish,2020-11-03,951,46.0,5.0
El club de los cinco minutos,Andrés Moutas, Miguel Coll,Aoudio book,SAGA Egmont,2020.0,Science fiction and fantasy,3.5,Spanish,2020-11-03,951,4.0,5.0
Twin Souls of the Void,Papiya & Asrith,No announcer,Digital book,Leadstart Publishing Pvt Ltd (Vitamin - B),2019.0,Science fiction and fantasy,0.0,English,2019-01-01,1623,0.0,0.0
Essence: Alta,Nick Braker, Alex Ford,Aoudio book,Silverton Agency,2020.0,Science fiction and fantasy,4.0,English,2020-10-20,965,49.0,6.0
"Vow of Deception: The Ministry of Curiosities, Book 9",C.J. Archer, Shiromi Arserio,Aoudio book,C.J. Archer,2020.0,Science fiction and fantasy,4.38,English,2020-10-02,983,38.0,9.0
Lost,C.S.R. Calloway, Mark Sanderlin,Aoudio book,C.S.R. Calloway,2020.0,Science fiction and fantasy,0.0,English,2020-10-06,979,10.0,2.0
Шлем ужаса,Виктор Пелевин," Юлия Рутберг, Мария Голубкина, Александр Ф. Скляр, Николай Фоменко, Сергей Фролов, Рафаэль Сафин, Леонид Володарский, Тина Конделаки, Алексей Колган",Aoudio book & Digital book,Азбука,2020.0,Science fiction and fantasy,4.19,Russian,2020-10-20,965,41.0,2.0
The Promised Land,Elizabeth Musser," Sandy Rustin, Andrea Gallo, Nick Walther",Aoudio book,"Recorded Books, Inc.",2020.0,Science fiction and fantasy,4.45,English,2020-11-03,951,50.0,11.0
State of Disobedience,Tom Kratman, Richard James,Aoudio book,"Recorded Books, Inc.",2020.0,Science fiction and fantasy,4.0,English,2020-10-23,962,34.0,12.0
The Summer Tree,Guy Gavriel Kay, Simon Vance,Aoudio book,"Recorded Books, Inc.",2020.0,Science fiction and fantasy,4.63,English,2020-08-18,1028,5.0,13.0
The Lost Legends: Tales of Myth and Magic,Adam D. Jones," Christine Hand, Ryan Swindoll",Aoudio book,Archgate Press,2021.0,Science fiction and fantasy,3.0,English,2021-08-31,650,56.0,6.0
"Anomalia, Folge 12: Das zweite Gesicht",Lars Eichstaedt," Gilles Karolyi, Sebastian Christ, Nina Hecklau-Denker, Markus Schultz, Jan Langer, Angelika Osusko, Eva Meininger, Alexander Hainbach",Aoudio book,Lübbe Audio,2020.0,Science fiction and fantasy,0.0,German,2020-11-13,941,10.0,1.0
Aventuras y desventuras de un viejo soldado,Juan Saavedra Rojas,No announcer,Digital book,Editorial Santa Inés,2020.0,Science fiction and fantasy,0.0,Spanish,2020-10-12,973,0.0,0.0
Aventuras y desventuras de un viejo soldado II,Juan Saavedra Rojas,No announcer,Digital book,Editorial Santa Inés,2020.0,Science fiction and fantasy,0.0,Spanish,2020-10-12,973,0.0,0.0
The Pearl King,Sarah Painter, Kate Rawson,Aoudio book,QUEST from W. F. Howes Ltd,2020.0,Science fiction and fantasy,4.09,English,2020-11-19,935,32.0,8.0
The Kingdom of Liars (1 of 2) [Dramatized Adaptation],Nick Martell," Richard Rohan, Christopher Walker, A Full Cast, Ken Jackson, Eric Messner, Nora Achrati, Laura C. Harris, Alejandro Ruiz, Amanda Forstrom, Bradley Smith, Zeke Alton, Matthew Pauli",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.12,English,2020-11-01,953,24.0,7.0
Death Becomes Her [Dramatized Adaptation],Michael Anderle," Terence Aselford, Colleen Delany, Christopher Graybill, Richard Rohan, Emily Beresford, A Full Cast, Michael John Casey, David Coyne, Nora Achrati, Alejandro Ruiz, Bradley Smith, Stephon Walker",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.16,English,2020-11-01,953,16.0,5.0
The Boys: Volume 2 [Dramatized Adaptation],Garth Ennis," Terence Aselford, Christopher Walker, A Full Cast, Michael John Casey, Eric Messner, Jonathon Church, Kenyatta Rogers, Laura C. Harris, Alejandro Ruiz, Matthew Bassett, Joe Mallon, Dave Coyne",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.4,English,2020-11-01,953,53.0,4.0
Choice of the Cat (2 of 2) [Dramatized Adaptation],E.E. Knight," Colleen Delany, A Full Cast, James Konicek, Jeff Baker, Ken Jackson, David Coyne, Tim Getman, Eric Messner, Lily Beacon, Danny Gavigan, Ren Casey, Katrina Van Duyn",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.17,English,2020-11-01,953,38.0,5.0
Choice of the Cat (1 of 2) [Dramatized Adaptation],E.E. Knight," Christopher Graybill, A Full Cast, Delores King Williams, Ted Stoddard, Dylan Lynch, Michael Glenn, Ken Jackson, David Coyne, Tim Getman, Lily Beacon, Steven Carpenter, Barbara Pinolini",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.4,English,2020-11-01,953,44.0,5.0
The Way of the Wolf (2 of 2) [Dramatized Adaptation],E.E. Knight," Nanette Savard, Thomas Penny, Richard Rohan, Jonathan Watkins, A Full Cast, Michael John Casey, Jeff Baker, M.B. Van Dorn, Ken Jackson, Tim Getman, Peter Stray, Karen Novack",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.46,English,2020-11-01,953,52.0,5.0
The Way of the Wolf (1 of 2) [Dramatized Adaptation],E.E. Knight," Thomas Penny, Christopher Graybill, Richard Rohan, Jonathan Watkins, A Full Cast, Dylan Lynch, Michael Glenn, Ken Jackson, Tim Getman, Scott McCormick, Steven Carpenter, Katie Foster",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,3.88,English,2020-11-01,953,23.0,5.0
Sun and Serpent (1 of 2) [Dramatized Adaptation],Jon Sprunk," Shanta Parasuraman, Michael John Casey, Terence Aselford, Thomas Penny, Ken Jackson, Andy Clemence, Christopher Scheeren, David Jourdan, Bradley Smith, Joe Mallon, Lydia Kraniotis, A Full Cast",Aoudio book,GraphicAudio,2020.0,Science fiction and fantasy,4.36,English,2020-11-01,953,3.0,5.0
