book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,days_from_release,recording_minutes,recording_hours
הכינה נחמה,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.56,Hebrew,2021-04-27,776,10.0,0.0
אבא עושה בושות,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.29,Hebrew,2021-04-27,776,6.0,0.0
Harry Potter and the Prisoner of Azkaban,J.K. Rowling, Stephen Fry,Aoudio book & Digital book,Pottermore,2015.0,Kids,4.82,English,2015-11-20,2761,3.0,12.0
Harry Potter and the Philosopher's Stone,J.K. Rowling, Stephen Fry,Aoudio book & Digital book,Pottermore,2015.0,Kids,4.7,English,2015-11-20,2761,25.0,8.0
קרמר החתול ישן כל הזמן,מאיר שלו, איל קיציס,Aoudio book,Storyside,2021.0,Kids,4.46,Hebrew,2021-04-27,776,3.0,0.0
הרפתקאות דוד אריה בערבות רומניה,ינץ לוי, ינץ לוי,Aoudio book,Storyside,2021.0,Kids,4.59,Hebrew,2021-10-05,615,54.0,0.0
שקשוקה שתיים,גליה עוז, גליה עוז,Aoudio book,Storyside,2023.0,Kids,0.0,Hebrew,2023-05-02,41,44.0,0.0
"מהר למיטות, ארנבונים קטנים",מריסבינה רוסו, ירדן אורלובסקי,Aoudio book,Storyside,2021.0,Kids,4.16,Hebrew,2021-03-29,805,5.0,0.0
קצת יותר גדול,ג׳ונתן אמט, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.73,Hebrew,2021-03-29,805,4.0,0.0
החתול במגפיים,אריך קסטנר, מוטי ברכאן,Aoudio book,Storyside,2021.0,Kids,4.81,Hebrew,2021-03-29,805,40.0,0.0
הטרקטור בארגז החול,מאיר שלו, איל קיציס,Aoudio book,Storyside,2021.0,Kids,4.66,Hebrew,2021-04-27,776,7.0,0.0
מנהרת הזמן (2): מבצע חומה ומגדל,גלילה רון פדר עמית, אילת פוזניאק,Aoudio book,Storyside,2022.0,Kids,4.68,Hebrew,2022-02-14,483,25.0,1.0
Harry Potter and the Half-Blood Prince,J.K. Rowling, Stephen Fry,Aoudio book & Digital book,Pottermore,2015.0,Kids,4.83,English,2015-11-20,2761,31.0,20.0
כראמל,מאירה ברנע גולדברג, רותם שפי,Aoudio book,Storyside,2021.0,Kids,4.6,Hebrew,2021-03-29,805,27.0,5.0
חבורת כוח המוח (10) ותעלומת העטלף השחור,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.67,Hebrew,2021-03-29,805,18.0,2.0
החבר הכי טוב של זואי,ליאור אייזלר, ליאור אייזלר,Aoudio book,Storyside,2021.0,Kids,4.25,Hebrew,2021-09-25,625,7.0,0.0
הינשוף שראה הפוך,יוסי גודארד, רמי ברוך,Aoudio book,Storyside,2022.0,Kids,5.0,Hebrew,2022-01-23,505,12.0,0.0
השיקוי המופלא,יובל אברמוביץ', יובל אברמוביץ',Aoudio book & Digital book,Storyside,2022.0,Kids,4.68,Hebrew,2022-08-21,295,11.0,0.0
Harry Potter and the Chamber of Secrets,J.K. Rowling, Stephen Fry,Aoudio book & Digital book,Pottermore,2015.0,Kids,4.78,English,2015-11-20,2761,43.0,9.0
Harry Potter and the Order of the Phoenix,J.K. Rowling, Stephen Fry,Aoudio book & Digital book,Pottermore,2015.0,Kids,4.8,English,2015-11-20,2761,1.0,29.0
פילים לא מתקבלים,ליזה מנטצ׳ב, זיו זוהר מאיר,Aoudio book,Storyside,2021.0,Kids,3.92,Hebrew,2021-03-29,805,3.0,0.0
פיתה וסיסי רבות,רונית חכם, רונית חכם,Aoudio book,Storyside,2021.0,Kids,3.5,Hebrew,2021-03-29,805,3.0,0.0
טיגר טיגר האם זו האמת,קייטי ביירון, רמי ברוך,Aoudio book & Digital book,Storyside,2021.0,Kids,4.67,Hebrew,2021-03-29,805,10.0,0.0
כראמל (4) האוצר הצהוב,מאירה ברנע גולדברג, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.83,Hebrew,2021-03-29,805,25.0,6.0
דוקטור מרשמלו מלו - סיפור בחרוזים,שלומית כהן-אסיף, שלומית כהן-אסיף,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,805,6.0,0.0
אין לי אבל יש לי,יובל אברמוביץ', יובל אברמוביץ',Aoudio book & Digital book,Storyside,2021.0,Kids,4.71,Hebrew,2021-03-29,805,3.0,0.0
איתמר מטיל על קירות,דויד גרוסמן, דליה שימקו,Aoudio book,Storyside,2021.0,Kids,4.42,Hebrew,2021-04-27,776,8.0,0.0
גור של דינוזאור,הדס ליבוביץ', הדס ליבוביץ',Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-05-18,755,9.0,0.0
מי הכי גבוה ?,יונה טפר, יובל רז וקרן מזיג,Aoudio book,Storyside,2021.0,Kids,4.89,Hebrew,2021-06-25,717,4.0,0.0
הדודה שלי מרחוב הנביאים,יורם טהרלב, יורם טהרלב,Aoudio book,Storyside,2021.0,Kids,4.76,Hebrew,2021-07-25,687,7.0,0.0
האוצר של צ'מבלו,רוני חפר, רוני חפר,Aoudio book,Storyside,2021.0,Kids,4.6,Hebrew,2021-08-01,680,8.0,0.0
מתי מגיעים,רוני חפר, רוני חפר,Aoudio book,Storyside,2021.0,Kids,3.8,Hebrew,2021-09-19,631,11.0,0.0
הנמלה והצרצר,יעל שכנאי, יעל שכנאי,Aoudio book & Digital book,Storyside,2021.0,Kids,4.56,Hebrew,2021-09-25,625,5.0,0.0
מנהרת הזמן (1): ירושלים במצור,גלילה רון פדר עמית, אילת פוזניאק,Aoudio book,Storyside,2022.0,Kids,4.6,Hebrew,2022-02-15,482,18.0,1.0
מנהרת הזמן (53): נחש צפע,גלילה רון פדר עמית, נועה זוהר,Aoudio book,Storyside,2022.0,Kids,3.4,Hebrew,2022-02-15,482,28.0,1.0
משחקי בילוש (1): תעלומת החטיפה המסתורית,מיכאל אבס, עדי עזרא,Aoudio book,Storyside,2022.0,Kids,4.5,Hebrew,2022-02-15,482,41.0,1.0
שקשוקה מאמצת חתול איום ונורא,גליה עוז, גליה עוז,Aoudio book,Storyside,2023.0,Kids,3.0,Hebrew,2023-05-02,41,44.0,0.0
שקשוקה והמלחמה העולמית בין הטובים והרעים,גליה עוז, גליה עוז,Aoudio book,Storyside,2023.0,Kids,0.0,Hebrew,2023-05-02,41,59.0,0.0
שקשוקה נעלמת,גליה עוז, גליה עוז,Aoudio book,Storyside,2023.0,Kids,5.0,Hebrew,2023-05-02,41,48.0,0.0
Harry Potter and the Deathly Hallows,J.K. Rowling, Stephen Fry,Aoudio book & Digital book,Pottermore,2015.0,Kids,4.85,English,2015-11-20,2761,59.0,23.0
Harry Potter and the Goblet of Fire,J.K. Rowling, Stephen Fry,Aoudio book & Digital book,Pottermore,2015.0,Kids,4.82,English,2015-11-20,2761,54.0,20.0
אהבתי אותך מאז ומתמיד,הודה קוטב, נועה זוהר,Aoudio book,Storyside,2021.0,Kids,3.93,Hebrew,2021-03-29,805,2.0,0.0
"הו, איזו עוגה",ג׳אן פירנלי, ירדן אורלובסקי,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,805,4.0,0.0
מושלם בשביל שניים,טרייסי קורדרוי, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.56,Hebrew,2021-03-29,805,4.0,0.0
סיסי,רונית חכם, רונית חכם,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-03-29,805,2.0,0.0
סיסי עושה בלגן,רונית חכם, רונית חכם,Aoudio book,Storyside,2021.0,Kids,2.25,Hebrew,2021-03-29,805,3.0,0.0
חתולה וארנבון מחליפים בתים,דורית רביניאן, מיכה אוזין,Aoudio book,Storyside,2021.0,Kids,4.4,Hebrew,2021-03-29,805,5.0,0.0
כראמל (2) הנקמה,מאירה ברנע גולדברג, שירן גרוס,Aoudio book,Storyside,2021.0,Kids,4.69,Hebrew,2021-03-29,805,47.0,4.0
חבורת כוח המוח (13) בעקבות גנבי האופניים,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.73,Hebrew,2021-03-29,805,5.0,2.0
חבורת כוח המוח (14) - ורוח הרפאים,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.7,Hebrew,2021-03-29,805,14.0,2.0
חבורת כוח המוח (17) - והקלף המקולל,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.87,Hebrew,2021-03-29,805,7.0,2.0
חבורת כוח המוח (20) - עושים סדר!,זוהר אביב, נועה לפידות,Aoudio book,Storyside,2021.0,Kids,4.92,Hebrew,2021-03-29,805,12.0,2.0
חבורת כוח המוח (7) בעקבות הכסף האבוד,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,805,52.0,1.0
חבורת כוח המוח (24) - גול אחד יכול,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.67,Hebrew,2021-03-29,805,55.0,1.0
חבורת כוח המוח (6) והתקלה המסתורית,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.38,Hebrew,2021-03-29,805,3.0,2.0
חבורת כוח המוח (25) מסך שבור,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.7,Hebrew,2021-03-29,805,57.0,1.0
חבורת כוח המוח (5) וטבעת המזל,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.6,Hebrew,2021-03-29,805,44.0,1.0
חבורת כוח המוח (9) וההצגה הגדולה,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-03-29,805,39.0,1.0
חבורת כוח המוח (8) והמסיבה המדליקה,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.89,Hebrew,2021-03-29,805,1.0,2.0
יד הפלא (1) הסוד מתגלה,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.65,Hebrew,2021-03-29,805,32.0,1.0
יד הפלא (7) על רגל אחת,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.33,Hebrew,2021-03-29,805,57.0,1.0
יד הפלא (9) הפרעת כשף,זוהר אביב, ציפי מור,Aoudio book,Storyside,2021.0,Kids,4.62,Hebrew,2021-03-29,805,18.0,2.0
פיטר פן,ג'יימס מת'יו בארי, רמי ברוך,Aoudio book,Storyside,2021.0,Kids,4.12,Hebrew,2021-03-29,805,35.0,0.0
הבית בעמק שוקו,שלומית כהן-אסיף, ניקו בר ושלומית כהן אסיף,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,805,9.0,0.0
הגשם של סבא אהרון,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.26,Hebrew,2021-04-27,776,15.0,0.0
מי רוצה שק-קמח?,דויד גרוסמן, תמר עמית-יוסף,Aoudio book,Storyside,2021.0,Kids,3.91,Hebrew,2021-04-27,776,6.0,0.0
קרמר החתול לומד לשחות,מאיר שלו, איל קיציס,Aoudio book,Storyside,2021.0,Kids,4.66,Hebrew,2021-05-03,770,5.0,0.0
רוני ונומי והדב יעקב,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.38,Hebrew,2021-05-03,770,8.0,0.0
האח החדש של איתמר,דויד גרוסמן, דליה שימקו,Aoudio book,Storyside,2021.0,Kids,4.4,Hebrew,2021-05-03,770,6.0,0.0
מגדל של נמלים,נעמי בן-גור, ציפי מור,Aoudio book,Storyside,2021.0,Kids,3.5,Hebrew,2021-10-05,615,9.0,0.0
לא תשיג אותי,יונה טפר, שירלי סומק ויובל רז,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-05-28,745,6.0,0.0
באושר ועושר כאילו... (4) חלומות מתוקים,שרה מלינובסקי, אלינור אהרון בן-אבי,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-06-19,723,59.0,2.0
הנסיך האמיץ,ציון זכאי, חן גבעתי,Aoudio book,Storyside,2021.0,Kids,3.5,Hebrew,2021-06-20,722,10.0,0.0
כראמל (2) הנקמה,מאירה ברנע גולדברג, תומר שרון,Aoudio book,Storyside,2021.0,Kids,4.68,Hebrew,2021-06-19,723,39.0,4.0
אלרגיה: סיפור ילדות,יהונתן גפן, שרון ליפקינד,Aoudio book,Storyside,2021.0,Kids,4.8,Hebrew,2021-10-09,611,25.0,1.0
אייזיק ניוטון הקטן,יורם טהרלב, יורם טהרלב,Aoudio book,Storyside,2021.0,Kids,4.14,Hebrew,2021-07-25,687,5.0,0.0
בא לי,רוני חפר, רוני חפר,Aoudio book,Storyside,2021.0,Kids,4.62,Hebrew,2021-09-19,631,7.0,0.0
קופיף מעצבן,שושנה ויג, שושנה ויג,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-08-09,672,5.0,0.0
כראמל (3) נער החידות,מאירה ברנע גולדברג, תומר שרון,Aoudio book,Storyside,2021.0,Kids,4.69,Hebrew,2021-08-09,672,32.0,6.0
אבא עושה קוקיות,כרמי חוסטצקי משיח, ריקי בליך,Aoudio book,Storyside,2021.0,Kids,4.34,Hebrew,2021-09-01,649,9.0,0.0
כראמל (4) האוצר הצהוב,מאירה ברנע גולדברג, תומר שרון,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-09-26,624,6.0,0.0
הרפתקאות דוד אריה באוקינוס הטיבטי,ינץ לוי, ינץ לוי,Aoudio book,Storyside,2021.0,Kids,4.78,Hebrew,2021-10-05,615,27.0,1.0
הרפתקאות דוד אריה בג'ונגל הסיבירי,ינץ לוי, ינץ לוי,Aoudio book,Storyside,2021.0,Kids,4.8,Hebrew,2021-10-05,615,1.0,1.0
הרפתקאות דוד אריה במדבר השוויצרי,ינץ לוי, ינץ לוי,Aoudio book,Storyside,2021.0,Kids,4.86,Hebrew,2021-10-05,615,8.0,1.0
הרפתקאות דוד אריה ביערות הסהרה,ינץ לוי, ינץ לוי,Aoudio book,Storyside,2021.0,Kids,4.51,Hebrew,2021-10-05,615,16.0,1.0
הדינוזאור של דודו,רחלי פליישון, רחלי פליישון,Aoudio book,Storyside,2022.0,Kids,4.19,Hebrew,2022-01-23,505,5.0,0.0
מנהרת הזמן (29): משפט דרייפוס,גלילה רון פדר עמית, אילת פוזניאק,Aoudio book,Storyside,2022.0,Kids,5.0,Hebrew,2022-02-15,482,30.0,1.0
מנהרת הזמן (73): הפיראט היהודי,גלילה רון פדר עמית, נועה זוהר,Aoudio book,Storyside,2022.0,Kids,4.5,Hebrew,2022-02-15,482,28.0,1.0
יש נסיכות עם משקפיים,תמר בן אביר, עדי לב,Aoudio book,Storyside,2022.0,Kids,4.2,Hebrew,2022-05-08,400,8.0,0.0
"Big Nate: Thunka, Thunka, Thunka",Lincoln Peirce,No announcer,Digital book,Andrews McMeel Publishing,2016.0,Kids,4.91,English,2016-03-01,2659,0.0,0.0
Big Nate: Great Minds Think Alike,Lincoln Peirce,No announcer,Digital book,Andrews McMeel Publishing,2014.0,Kids,4.75,English,2014-04-01,3359,0.0,0.0
Justice Bao: The Case of the Missing Coins,Catherine Khoo, Paul Courtenay Hyu,Aoudio book & Digital book,Storyside,2020.0,Kids,4.64,English,2020-12-30,894,9.0,0.0
Tokoyo: The Tomb of the Sea Serpent,Catherine Khoo, Tina Chiang,Aoudio book & Digital book,Storyside,2020.0,Kids,4.09,English,2020-12-30,894,6.0,0.0
The Crane and The Crab,SR Nathan, Paul Courtenay Hyu,Aoudio book & Digital book,Storyside,2021.0,Kids,4.61,English,2021-01-21,872,5.0,0.0
אמת או חובה,לימור טלמור, ירדן אורלובסקי,Aoudio book & Digital book,Storyside,2021.0,Kids,3.75,Hebrew,2021-03-29,805,42.0,7.0
המגדל של גוסטב,מאיה גז, מאיה גז,Aoudio book & Digital book,Storyside,2021.0,Kids,3.33,Hebrew,2021-03-29,805,15.0,0.0
ממלכת יוריקה,אופיר גוטמן, גיא נובוטני,Aoudio book & Digital book,Storyside,2021.0,Kids,4.24,Hebrew,2021-03-29,805,13.0,2.0
נל ומסיבת יום ההולדת,אוש לון, אורנה כץ,Aoudio book,Storyside,2021.0,Kids,0.0,Hebrew,2021-03-29,805,3.0,2.0
סוכנות בילוש מספר 2: מבצע ענן רעם ומבצע האיש בשחור,ירן ליאר הורסט, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-03-29,805,33.0,1.0
סופי והפינגווינים,אדוורד ואן דה ונדל, נתלי פיינשטיין,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,805,58.0,3.0
איפה הדב?,ג׳ונתן בנטלי, ירדן אורלובסקי,Aoudio book,Storyside,2021.0,Kids,4.67,Hebrew,2021-03-29,805,1.0,0.0
בבה,רונית חכם, רונית חכם,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,805,3.0,0.0
הדב והפסנתר,דיויד ליצ׳פילד, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.36,Hebrew,2021-03-29,805,5.0,0.0
כמוך בדיוק,ג׳אן פירנלי, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.64,Hebrew,2021-03-29,805,6.0,0.0
לזזה יום הולדת,רונית חכם, רונית חכם,Aoudio book,Storyside,2021.0,Kids,3.33,Hebrew,2021-03-29,805,4.0,0.0
סוד החיות הקסומות - כיבוי אורות,מרגיט אאואר, ירדן אורלובסקי,Aoudio book & Digital book,Storyside,2021.0,Kids,4.9,Hebrew,2021-03-29,805,19.0,3.0
פולי שלוטרמוץ,לוסי אסטנר, אביה שפיצר,Aoudio book & Digital book,Storyside,2021.0,Kids,4.78,Hebrew,2021-03-29,805,26.0,4.0
פיתה,רונית חכם, רונית חכם,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-03-29,805,2.0,0.0
נל והכתה החדשה,אוש לון, אורנה כץ,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,805,16.0,2.0
עץ הקסמים (1) - הכסא האדום,אנדז'יי מלשקה, אנדז'יי מלשקה,Aoudio book,Storyside,2021.0,Kids,4.86,Hebrew,2021-03-29,805,33.0,3.0
עץ הקסמים (3) - הענק,אנדז'יי מלשקה, ניר שאולוף,Aoudio book,Storyside,2021.0,Kids,4.29,Hebrew,2021-04-05,798,36.0,6.0
עץ הקסמים (2) - סוד הגשר,אנדז'יי מלשקה, ניר שאולוף,Aoudio book,Storyside,2021.0,Kids,4.73,Hebrew,2021-03-29,805,53.0,4.0
חבורת כוח המוח (11) והמלכודת בטיול השנתי,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.8,Hebrew,2021-03-29,805,31.0,1.0
חבורת כוח המוח (16) - מסתורין בפינת החי,זוהר אביב, נועה לפידות,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-03-29,805,10.0,2.0
חבורת כוח המוח (1) ופרשת הגנבות בכיתה,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.79,Hebrew,2021-03-29,805,16.0,2.0
חבורת כוח המוח (18) - נלחמים בשד האלימות,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.8,Hebrew,2021-03-29,805,17.0,2.0
חבורת כוח המוח (2) והבלגן בחדר המנהלת,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.6,Hebrew,2021-03-29,805,15.0,2.0
חבורת כוח המוח (21) - והסודות הגנובים,זוהר אביב, נועה לפידות,Aoudio book,Storyside,2021.0,Kids,4.85,Hebrew,2021-03-29,805,23.0,2.0
יד הפלא (11) - חבר אמת,זוהר אביב, נועה לפידות,Aoudio book,Storyside,2021.0,Kids,4.5,Hebrew,2021-03-29,805,46.0,1.0
חבורת כוח המוח (3) והתעלומה באולם הספורט,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.31,Hebrew,2021-03-29,805,22.0,2.0
יד הפלא (10) לחם מזהב,זוהר אביב, נועה לפידות,Aoudio book,Storyside,2021.0,Kids,4.94,Hebrew,2021-03-29,805,2.0,0.0
יד הפלא (3) נגד תאונות,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.76,Hebrew,2021-03-29,805,12.0,2.0
יד הפלא (6) סוד הכוח,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.69,Hebrew,2021-03-29,805,12.0,2.0
יהלומים באקווריום,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-03-29,805,1.0,2.0
מסע מצמרר 8 - סנדי קראש,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.25,Hebrew,2021-03-29,805,55.0,1.0
מסע מצמרר (3) - במשחק מחשב,זוהר אביב, מאיה לוי,Aoudio book,Storyside,2021.0,Kids,4.12,Hebrew,2021-03-29,805,21.0,2.0
דובים לא מפחדים משום דבר,אליזבת דייל, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.39,Hebrew,2021-03-29,805,8.0,0.0
זאתי,מרים רות, ירדן אורלובסקי,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,805,7.0,0.0
בולו גולו לא רוצה לחפוף,מיכל שלו, נוגה אלגום,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,805,8.0,0.0
בולו גולו לא רוצה לישון,מיכל שלו, נוגה אלגום,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-03-29,805,9.0,0.0
בוקר טוב גדליהו,שלומית כהן-אסיף, אוסנת וישינסקי,Aoudio book,Storyside,2021.0,Kids,3.0,Hebrew,2021-03-29,805,5.0,0.0
הארנב ממושי,שלומית כהן-אסיף, מיכל שגיא ושלומית כהן אסיף,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,805,7.0,0.0
מסיבה בגן העכברים,שלומית כהן-אסיף, מיכל שגיא ושלומית כהן אסיף,Aoudio book,Storyside,2021.0,Kids,0.0,Hebrew,2021-03-29,805,9.0,0.0
חבורת כוח המוח (4) ופרשת הכלבה החטופה,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.33,Hebrew,2021-03-29,805,6.0,2.0
ניקה שתיקה,דורית אורגד, דורית אורגד,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-03-29,805,8.0,0.0
חבורת כוח המוח (12) בעקבות התלמיד שנעלם,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.56,Hebrew,2021-05-09,764,11.0,2.0
הסיפור של אליעזר בן יהודה,תמי שם טוב, שירלי סומק,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,805,28.0,0.0
הסיפור המושלם 4 - הנבואה המונגולית,אלדד אילני, אלדד אילני,Aoudio book,Storyside,2021.0,Kids,4.5,Hebrew,2021-03-29,805,34.0,1.0
Как Йойо встретил лисёнка,Фиона Ремпт, Николь Плиева,Aoudio book,Storytel Original,2021.0,Kids,4.77,Russian,2021-04-02,801,11.0,0.0
חנות המילים של נעם,רוביק רוזנטל, רוביק רוזנטל,Aoudio book,Storyside,2021.0,Kids,3.0,Hebrew,2021-03-29,805,13.0,0.0
מלחמת האותיות,רוביק רוזנטל, רוביק רוזנטל,Aoudio book,Storyside,2021.0,Kids,0.0,Hebrew,2021-03-29,805,15.0,1.0
מסע מצמרר (7) - נולד ל... ל... לשיר,זוהר אביב, מאיה לוי,Aoudio book,Storyside,2021.0,Kids,4.6,Hebrew,2021-03-29,805,54.0,2.0
כראמל (5) היהלום האבוד,מאירה ברנע גולדברג, תומר שרון,Aoudio book,Storyside,2021.0,Kids,4.83,Hebrew,2021-03-29,805,40.0,5.0
והילד הזה הוא אני: אוסף ראשון,יהודה אטלס, מיכל אטלס,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-04-11,792,42.0,0.0
ממלכת שטות וממלכת רצינות,תמר בראון אלקלס, מאיה לוי,Aoudio book,Storyside,2021.0,Kids,4.29,Hebrew,2021-04-11,792,23.0,0.0
איך האדם הקדמון המציא לגמרי במקרה את הקבאב הרומני,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.58,Hebrew,2021-04-27,776,7.0,0.0
גומות החן של זוהר,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.44,Hebrew,2021-04-27,776,10.0,0.0
הקטר שרצה לנסוע לרומא,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-04-27,776,12.0,0.0
וניל על המצח ותות על האף,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.65,Hebrew,2021-04-27,776,5.0,0.0
פנדה יוצאת למרעה,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-04-27,776,12.0,0.0
איתמר פוגש ארנב,דויד גרוסמן, דליה שימקו,Aoudio book,Storyside,2021.0,Kids,4.72,Hebrew,2021-04-27,776,7.0,0.0
איתמר ציד החלומות,דויד גרוסמן, דליה שימקו,Aoudio book,Storyside,2021.0,Kids,4.76,Hebrew,2021-04-27,776,9.0,0.0
בבה תותי,דויד גרוסמן, עדי לב,Aoudio book,Storyside,2021.0,Kids,4.25,Hebrew,2021-04-27,776,5.0,0.0
רותי תישן ותישן,דויד גרוסמן, דליה שימקו,Aoudio book,Storyside,2021.0,Kids,4.67,Hebrew,2021-04-27,776,5.0,0.0
השפה המיחדת של אורי,דויד גרוסמן, תמר עמית-יוסף,Aoudio book,Storyside,2021.0,Kids,3.5,Hebrew,2021-04-27,776,8.0,0.0
החברה הסודית של רחלי,דויד גרוסמן, תמר עמית-יוסף,Aoudio book,Storyside,2021.0,Kids,4.25,Hebrew,2021-05-03,770,7.0,0.0
אריה בלילות,מאיר שלו, איל קיציס,Aoudio book,Storyside,2021.0,Kids,4.44,Hebrew,2021-05-03,770,9.0,0.0
ככה זה בעברית,דתיה בן דור, דתיה בן דור,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-05-03,770,25.0,0.0
גילגמש הצעיר (2) והמסע לשאול,שירלי גרץ, צביקה גרץ,Aoudio book,Storyside,2021.0,Kids,4.33,Hebrew,2021-05-03,770,10.0,1.0
גילגמש הצעיר (1) והגן המכושף,שירלי גרץ, צביקה גרץ,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-05-03,770,8.0,1.0
גילגמש הצעיר (3) וחוטף הגורזלים,שירלי גרץ, צביקה גרץ,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-05-23,750,55.0,1.0
הבלגן שלי,טל ניצן, טל ניצן,Aoudio book,Storyside,2021.0,Kids,4.5,Hebrew,2021-05-03,770,1.0,0.0
שעון הקסמים,סיגלית דיל, סיגלית דיל,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-05-03,770,21.0,0.0
חתול בגשם,עדולה, עדולה,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-05-03,770,17.0,0.0
הממלכה שמתחת לשולחן,חוה חבושי, רותם שפי,Aoudio book,Storyside,2021.0,Kids,4.67,Hebrew,2021-10-05,615,9.0,0.0
גילגמש הצעיר (4) נלחם בגורל,שירלי גרץ, צביקה גרץ,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-05-23,750,51.0,1.0
ברוך הכיסא והטוסיק הגדול מכולם,רותי ויטל גלעד, רותי ויטל גלעד,Aoudio book,Storyside,2021.0,Kids,0.0,Hebrew,2021-05-28,745,7.0,0.0
